t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
122.26,459.558824,460.567848,2834,0.0,0.0,34320.59367153454,0.0
122.27,460.747543,460.594802,2834,0.0,0.0,34322.6022296348,0.0
122.28,462.582237,460.892918,2834,0.0,0.0,34344.81723692941,0.0
122.29,461.82266,461.032379,2835,0.0,0.0,34355.20959135626,0.0
122.3,467.85884,462.056348,2835,0.0,0.0,34431.51371057313,0.0
122.31,464.835595,462.473235,2835,0.0,0.0,34462.579294929645,0.0
122.32000000000001,458.308536,461.84853,2835,0.0,0.0,34416.0275294022,0.0
122.33,450.721154,460.179424,2835,0.0,0.0,34291.64909293626,0.0
122.34,450.721154,458.760683,2835,0.0,0.0,34185.92735487402,0.0
122.35000000000001,450.721154,457.554754,2835,0.0,0.0,34096.063940861415,0.0
122.36,450.721154,456.529714,2835,0.0,0.0,34019.6800128694,0.0
122.37,459.558824,456.98408,2835,0.0,0.0,34053.53845724818,0.0
122.38,460.813763,457.558533,2835,0.0,0.0,34096.34554437336,0.0
122.39,463.017404,458.377363,2835,0.0,0.0,34157.36311613417,0.0
122.4,463.879268,459.202649,2835,0.0,0.0,34218.861776085796,0.0
122.41,457.813348,458.994254,2835,0.0,0.0,34203.33259803041,0.0
122.42,459.323875,459.043697,2836,0.0,0.0,34207.016991372824,0.0
122.43,459.323875,459.085724,2836,0.0,0.0,34210.14875924698,0.0
122.44,459.323875,459.121446,2836,0.0,0.0,34212.810691147904,0.0
122.45,459.323875,459.151811,2836,0.0,0.0,34215.0734301371,0.0
122.46000000000001,459.323875,459.17762,2836,0.0,0.0,34216.99666513041,0.0
122.47,462.962963,459.745422,2836,0.0,0.0,34259.308133055296,0.0
122.48,463.879268,460.365499,2836,0.0,0.0,34305.515029291055,0.0
122.49000000000001,459.321815,460.208946,2836,0.0,0.0,34293.8490132537,0.0
122.5,455.097087,459.442167,2836,0.0,0.0,34236.71017777236,0.0
122.51,459.33366,459.425891,2836,0.0,0.0,34235.497322847674,0.0
