t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
61.800000000000004,353.008856,348.74319,1743,0.0,0.0,25987.64410429442,0.0
61.81,353.008856,349.38304,1743,0.0,0.0,26035.324444891554,0.0
61.82,353.008856,349.926912,1743,0.0,0.0,26075.852697140126,0.0
61.83,353.008856,350.389204,1743,0.0,0.0,26110.301771165803,0.0
61.84,353.008856,350.782152,1743,0.0,0.0,26139.583469184035,0.0
61.85,353.008856,351.116157,1743,0.0,0.0,26164.47285288513,0.0
61.86,361.969112,352.7441,1743,0.0,0.0,26285.78390502662,0.0
61.870000000000005,362.435567,354.19782,1743,0.0,0.0,26394.112208117764,0.0
61.88,358.998906,354.917983,1743,0.0,0.0,26447.777312635164,0.0
61.89,356.193009,355.109237,1743,0.0,0.0,26462.029177698172,0.0
61.9,343.232511,353.327728,1743,0.0,0.0,26329.27469477738,0.0
61.910000000000004,343.232511,351.813446,1743,0.0,0.0,26216.433432731403,0.0
61.92,343.232511,350.526305,1743,0.0,0.0,26120.51826311893,0.0
61.93,343.232511,349.432236,1743,0.0,0.0,26038.99043228862,0.0
61.940000000000005,331.564987,346.752149,1743,0.0,0.0,25839.27571635526,0.0
61.95,339.346042,345.641233,1743,0.0,0.0,25756.49248082379,0.0
61.96,339.147287,344.667141,1743,0.0,0.0,25683.905095760183,0.0
61.97,346.537703,344.947725,1743,0.0,0.0,25704.81365352545,0.0
61.980000000000004,348.081683,345.417819,1743,0.0,0.0,25739.84411696637,0.0
61.99,349.987556,346.10328,1743,0.0,0.0,25790.923297940124,0.0
62.0,356.36276,347.642202,1744,0.0,0.0,25905.600683440523,0.0
62.01,356.36276,348.950285,1744,0.0,0.0,26003.07640895326,0.0
62.02,356.36276,350.062156,1744,0.0,0.0,26085.930809172194,0.0
62.03,356.36276,351.007247,1744,0.0,0.0,26156.357097794982,0.0
62.04,363.372093,352.861974,1744,0.0,0.0,26294.56763944491,0.0
62.050000000000004,358.508604,353.708968,1744,0.0,0.0,26357.683936082773,0.0
62.06,358.737245,354.46321,1744,0.0,0.0,26413.88853943147,0.0
62.07,348.772321,353.609577,1744,0.0,0.0,26350.27751780928,0.0
62.08,351.211289,353.249833,1744,0.0,0.0,26323.47011537469,0.0
62.09,342.689295,351.665753,1744,0.0,0.0,26205.42764615047,0.0
62.1,344.630132,350.61041,1744,0.0,0.0,26126.7855992851,0.0
62.11,344.630132,349.713368,1744,0.0,0.0,26059.93982591644,0.0
62.120000000000005,344.630132,348.950883,1744,0.0,0.0,26003.120970715667,0.0
62.13,344.630132,348.30277,1744,0.0,0.0,25954.824887906525,0.0
62.14,346.082855,347.969783,1744,0.0,0.0,25930.011363526715,0.0
62.15,346.196455,347.703784,1744,0.0,0.0,25910.189650752633,0.0
62.160000000000004,343.586387,347.086174,1744,0.0,0.0,25864.166590416306,0.0
62.17,351.5625,347.757623,1744,0.0,0.0,25914.20162521135,0.0
62.18,352.267034,348.434035,1744,0.0,0.0,25964.60649282718,0.0
62.190000000000005,357.483317,349.791427,1744,0.0,0.0,26065.756626270697,0.0
62.2,355.636395,350.668172,1745,0.0,0.0,26131.089907847378,0.0
62.21,355.636395,351.413406,1745,0.0,0.0,26186.62325307605,0.0
62.22,355.636395,352.046854,1745,0.0,0.0,26233.82652945423,0.0
62.230000000000004,355.636395,352.585285,1745,0.0,0.0,26273.94932927928,0.0
62.24,347.222222,351.780826,1745,0.0,0.0,26214.00265565822,0.0
62.25,352.278065,351.855411,1745,0.0,0.0,26219.56058048972,0.0
62.26,345.031546,350.831832,1745,0.0,0.0,26143.28552329182,0.0
62.27,348.081683,350.419309,1745,0.0,0.0,26112.545135475688,0.0
62.28,345.346267,349.658353,1745,0.0,0.0,26055.840218292848,0.0
62.29,343.658358,348.758354,1745,0.0,0.0,25988.77409520606,0.0
62.300000000000004,345.725065,348.30336,1745,0.0,0.0,25954.86885352495,0.0
62.31,345.725065,347.916616,1745,0.0,0.0,25926.04946516221,0.0
62.32,345.725065,347.587884,1745,0.0,0.0,25901.553014861074,0.0
62.33,345.725065,347.308461,1745,0.0,0.0,25880.730972490725,0.0
62.34,349.813433,347.684207,1745,0.0,0.0,25908.730811918733,0.0
62.35,348.945409,347.873387,1745,0.0,0.0,25922.82812665526,0.0
62.36,356.916244,349.229816,1745,0.0,0.0,26023.906499267337,0.0
