t (s),Raw RPM,Filtered RPM,Torque,Power (W),N_Re,N_Po
7.152557373046875e-07,0.0,0.0,0.0,0.0,0.0,0.0
0.010293006896972656,0.0,0.0,0.0,0.0,0.0,0.0
0.020266056060791016,0.0,0.0,0.0,0.0,0.0,0.0
0.03041863441467285,0.0,0.0,0.0,0.0,0.0,0.0
0.04086446762084961,0.0,0.0,0.0,0.0,0.0,0.0
0.05544114112854004,0.0,0.0,0.0,0.0,0.0,0.0
0.0674135684967041,0.0,0.0,0.0,0.0,0.0,0.0
0.07439494132995605,0.0,0.0,0.0,0.0,0.0,0.0
0.0855717658996582,0.0,0.0,0.0,0.0,0.0,0.0
0.09162044525146484,0.0,0.0,0.0,0.0,0.0,0.0
0.13946914672851562,0.0,0.0,0.0,0.0,0.0,0.0
0.15169334411621094,0.0,0.0,0.0,0.0,0.0,0.0
0.16455554962158203,0.0,0.0,0.0,0.0,0.0,0.0
0.17060303688049316,0.0,0.0,0.0,0.0,0.0,0.0
0.1833784580230713,0.0,0.0,0.0,0.0,0.0,0.0
0.1903700828552246,0.0,0.0,0.0,0.0,0.0,0.0
0.2197093963623047,0.0,0.0,0.0,0.0,0.0,0.0
0.2197258472442627,0.0,0.0,0.0,0.0,0.0,0.0
0.23223137855529785,0.0,0.0,0.0,0.0,0.0,0.0
0.23224544525146484,0.0,0.0,0.0,0.0,0.0,0.0
0.291715145111084,0.0,0.0,0.0,0.0,0.0,0.0
0.2917308807373047,0.0,0.0,0.0,0.0,0.0,0.0
0.3144676685333252,0.0,0.0,0.0,0.0,0.0,0.0
0.31995511054992676,0.0,0.0,0.0,0.0,0.0,0.0
0.31996917724609375,0.0,0.0,0.0,0.0,0.0,0.0
0.34661388397216797,0.0,0.0,0.0,0.0,0.0,0.0
0.3466310501098633,0.0,0.0,0.0,0.0,0.0,0.0
0.3502485752105713,0.0,0.0,0.0,0.0,0.0,0.0
0.3603839874267578,0.0,0.0,0.0,0.0,0.0,0.0
0.3705775737762451,0.0,0.0,0.0,0.0,0.0,0.0
0.41817307472229004,0.0,0.0,0.0,0.0,0.0,0.0
0.44824838638305664,0.0,0.0,0.0,0.0,0.0,0.0
0.4484899044036865,0.0,0.0,0.0,0.0,0.0,0.0
0.448683500289917,0.0,0.0,0.0,0.0,0.0,0.0
0.45885729789733887,0.0,0.0,0.0,0.0,0.0,0.0
0.4690365791320801,0.0,0.0,0.0,0.0,0.0,0.0
0.5096311569213867,0.0,0.0,0.0,0.0,0.0,0.0
0.5096466541290283,0.0,0.0,0.0,0.0,0.0,0.0
0.509699821472168,0.0,0.0,0.0,0.0,0.0,0.0
0.5097050666809082,0.0,0.0,0.0,0.0,0.0,0.0
0.5572679042816162,0.0,0.0,0.0,0.0,0.0,0.0
0.568953275680542,0.0,0.0,0.0,0.0,0.0,0.0
0.5777690410614014,0.0,0.0,0.0,0.0,0.0,0.0
0.6014659404754639,0.0,0.0,0.0,0.0,0.0,0.0
0.6143336296081543,0.0,0.0,0.0,0.0,0.0,0.0
0.6143488883972168,0.0,0.0,0.0,0.0,0.0,0.0
0.6411678791046143,0.0,0.0,0.0,0.0,0.0,0.0
0.6411843299865723,0.0,0.0,0.0,0.0,0.0,0.0
