t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
90.15,318.258972,318.337626,1374,0.0,0.0,23721.882367062077,0.0
90.16,325.198216,319.366714,1374,0.0,0.0,23798.56794390732,0.0
90.17,324.074074,320.072818,1374,0.0,0.0,23851.185399900136,0.0
90.18,329.112337,321.428746,1374,0.0,0.0,23952.22643899554,0.0
90.19,327.797203,322.384015,1374,0.0,0.0,24023.411171795247,0.0
90.2,320.622435,322.119778,1374,0.0,0.0,24003.72075973247,0.0
90.21000000000001,320.622435,321.895176,1374,0.0,0.0,23986.98386849421,0.0
90.22,320.622435,321.704265,1374,0.0,0.0,23972.757563104293,0.0
90.23,320.622435,321.541991,1374,0.0,0.0,23960.665229604165,0.0
90.24,313.283208,320.303173,1374,0.0,0.0,23868.350993177086,0.0
90.25,321.218796,320.440517,1374,0.0,0.0,23878.585593003565,0.0
90.26,317.489115,319.997806,1374,0.0,0.0,23845.595655883768,0.0
90.27,317.548202,319.630366,1374,0.0,0.0,23818.21476294165,0.0
90.28,320.591109,319.774477,1374,0.0,0.0,23828.95362605612,0.0
90.29,316.887676,319.341457,1374,0.0,0.0,23796.685842848536,0.0
90.3,320.257345,319.47884,1375,0.0,0.0,23806.923348876917,0.0
90.31,320.257345,319.595616,1375,0.0,0.0,23815.625262534133,0.0
90.32000000000001,320.257345,319.694875,1375,0.0,0.0,23823.021844431976,0.0
90.33,320.257345,319.779245,1375,0.0,0.0,23829.308927867434,0.0
90.34,319.602273,319.7527,1375,0.0,0.0,23827.33084762808,0.0
90.35000000000001,321.739704,320.05075,1375,0.0,0.0,23849.54093673487,0.0
90.36,321.533562,320.273172,1375,0.0,0.0,23866.115378738923,0.0
90.37,324.554896,320.915431,1375,0.0,0.0,23913.97523319165,0.0
90.38,321.691176,321.031793,1375,0.0,0.0,23922.646296397976,0.0
90.39,326.005961,321.777918,1375,0.0,0.0,23978.24603716228,0.0
90.4,321.833162,321.786204,1375,0.0,0.0,23978.863493288227,0.0
90.41,321.833162,321.793248,1375,0.0,0.0,23979.388398061477,0.0
90.42,321.833162,321.799235,1375,0.0,0.0,23979.834537311548,0.0
90.43,321.833162,321.804324,1375,0.0,0.0,23980.213759400005,0.0
90.44,321.888412,321.816937,1375,0.0,0.0,23981.153654900434,0.0
90.45,315.656566,320.892882,1375,0.0,0.0,23912.29492686966,0.0
90.46000000000001,321.230891,320.943583,1375,0.0,0.0,23916.07306385273,0.0
90.47,320.43457,320.867231,1375,0.0,0.0,23910.38346571993,0.0
90.48,318.211488,320.46887,1375,0.0,0.0,23880.698401782105,0.0
90.49,321.061644,320.557786,1375,0.0,0.0,23887.32424403347,0.0
90.5,321.350303,320.676663,1376,0.0,0.0,23896.182720003097,0.0
90.51,321.350303,320.777709,1376,0.0,0.0,23903.71246556218,0.0
90.52,321.350303,320.863599,1376,0.0,0.0,23910.112816353598,0.0
90.53,321.350303,320.936604,1376,0.0,0.0,23915.5530027493,0.0
90.54,324.114088,321.413227,1376,0.0,0.0,23951.069994194844,0.0
90.55,326.492537,322.175123,1376,0.0,0.0,24007.844958295176,0.0
90.56,328.947368,323.19096,1376,0.0,0.0,24083.54309715769,0.0
90.57000000000001,321.691176,322.965993,1376,0.0,0.0,24066.779006850404,0.0
90.58,324.308143,323.167315,1376,0.0,0.0,24081.781119110612,0.0
90.59,318.258972,322.431064,1376,0.0,0.0,24026.91716905203,0.0
