t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
30.67,356.193009,352.609517,553,0.0,0.0,26275.755049390784,0.0
30.68,358.737245,353.528676,553,0.0,0.0,26344.24893730659,0.0
30.69,342.638918,351.895212,553,0.0,0.0,26222.5264713018,0.0
30.7,342.638918,350.506768,553,0.0,0.0,26119.062405004926,0.0
30.71,342.638918,349.326591,553,0.0,0.0,26031.117978459784,0.0
30.72,323.275862,345.418981,553,0.0,0.0,25739.930706879273,0.0
30.73,323.275862,342.097514,553,0.0,0.0,25492.421637812844,0.0
30.740000000000002,323.275862,339.274266,553,0.0,0.0,25282.03885086248,0.0
30.75,323.275862,336.874505,553,0.0,0.0,25103.213467051068,0.0
30.76,331.182065,336.020639,553,0.0,0.0,25039.585082735503,0.0
30.77,342.510438,336.994109,553,0.0,0.0,25112.12611760476,0.0
30.78,342.820575,337.868079,553,0.0,0.0,25177.252611738826,0.0
30.79,362.766401,341.602827,554,0.0,0.0,25455.558553263378,0.0
30.8,362.766401,344.777363,554,0.0,0.0,25692.118618462842,0.0
30.810000000000002,362.766401,347.475719,554,0.0,0.0,25893.19470368959,0.0
30.82,362.766401,349.769321,554,0.0,0.0,26064.109331421525,0.0
30.830000000000002,375.462107,353.623239,554,0.0,0.0,26351.295582688927,0.0
30.84,367.827366,355.753858,554,0.0,0.0,26510.065043660612,0.0
30.85,364.313472,357.0378,554,0.0,0.0,26605.741830199604,0.0
30.86,354.576399,356.66859,554,0.0,0.0,26578.229040402195,0.0
30.87,352.267034,356.008357,554,0.0,0.0,26529.0297994653,0.0
30.88,346.366995,354.562152,554,0.0,0.0,26421.261499124157,0.0
30.89,338.427625,352.141973,554,0.0,0.0,26240.914606843085,0.0
30.900000000000002,338.427625,350.084821,554,0.0,0.0,26087.619759581874,0.0
30.91,338.427625,348.336241,554,0.0,0.0,25957.319079795445,0.0
30.92,338.427625,346.849949,554,0.0,0.0,25846.563576494977,0.0
30.93,333.306399,344.818417,554,0.0,0.0,25695.177880325587,0.0
30.94,338.855422,343.923967,554,0.0,0.0,25628.525257606027,0.0
30.95,338.72985,343.14485,554,0.0,0.0,25570.467019073527,0.0
30.96,351.123596,344.341662,554,0.0,0.0,25659.651052504392,0.0
30.970000000000002,351.035946,345.345804,554,0.0,0.0,25734.477703388024,0.0
30.98,359.023456,347.397452,554,0.0,0.0,25887.362403591887,0.0
30.990000000000002,361.01083,349.439459,555,0.0,0.0,26039.528675783404,0.0
31.0,361.01083,351.175165,555,0.0,0.0,26168.87001087209,0.0
31.01,361.01083,352.650514,555,0.0,0.0,26278.81006372768,0.0
31.02,361.01083,353.904562,555,0.0,0.0,26372.25920925423,0.0
31.03,358.666863,354.618907,555,0.0,0.0,26425.490768063108,0.0
31.04,353.670923,354.476709,555,0.0,0.0,26414.89445787755,0.0
31.05,351.35582,354.008576,555,0.0,0.0,26380.01012422941,0.0
31.060000000000002,347.038604,352.96308,555,0.0,0.0,26302.10185608383,0.0
31.07,345.17673,351.795128,555,0.0,0.0,26215.06841205616,0.0
31.080000000000002,337.878424,349.707622,555,0.0,0.0,26059.511645503724,0.0
31.09,341.41791,348.464165,555,0.0,0.0,25966.851720086997,0.0
31.1,341.41791,347.407227,555,0.0,0.0,25888.09081701587,0.0
31.11,341.41791,346.50883,555,0.0,0.0,25821.144071760817,0.0
31.12,341.41791,345.745192,555,0.0,0.0,25764.239297309112,0.0
31.13,349.596022,346.322816,555,0.0,0.0,25807.282681003857,0.0
31.14,349.639483,346.820316,555,0.0,0.0,25844.35538467984,0.0
31.150000000000002,357.278963,348.389113,555,0.0,0.0,25961.258995350738,0.0
31.16,358.188996,349.859096,556,0.0,0.0,26070.79918463261,0.0
31.17,357.240065,350.966241,556,0.0,0.0,26153.301412796114,0.0
31.18,357.824427,351.994969,556,0.0,0.0,26229.96016316231,0.0
31.19,354.474253,352.366862,556,0.0,0.0,26257.672884746582,0.0
31.2,354.474253,352.68297,556,0.0,0.0,26281.228619849306,0.0
31.21,349.813433,352.25254,556,0.0,0.0,26249.153838254824,0.0
31.220000000000002,349.813433,351.886674,556,0.0,0.0,26221.890236640524,0.0
31.23,348.081683,351.315925,556,0.0,0.0,26179.35916417748,0.0
31.240000000000002,347.050839,350.676162,556,0.0,0.0,26131.685306646108,0.0
31.25,339.849819,349.052211,556,0.0,0.0,26010.671730350005,0.0
31.26,341.488587,347.917667,556,0.0,0.0,25926.127783577416,0.0
31.27,337.92482,346.41874,556,0.0,0.0,25814.430745380578,0.0
31.28,343.658358,346.004683,556,0.0,0.0,25783.576046956525,0.0
31.29,350.336323,346.654429,556,0.0,0.0,25831.993817655322,0.0
31.3,350.336323,347.206713,556,0.0,0.0,25873.148915297505,0.0
31.310000000000002,350.336323,347.676154,556,0.0,0.0,25908.130718486165,0.0
31.32,350.336323,348.07518,556,0.0,0.0,25937.86533689222,0.0
31.330000000000002,360.576923,349.950441,557,0.0,0.0,26077.6060310995,0.0
31.34,360.230548,351.492457,557,0.0,0.0,26192.51397528367,0.0
31.35,360.947125,352.910657,557,0.0,0.0,26298.19539910935,0.0
31.36,358.37156,353.729793,557,0.0,0.0,26359.235773377346,0.0
31.37,356.633381,354.165331,557,0.0,0.0,26391.691192902235,0.0
31.38,349.627064,353.484591,557,0.0,0.0,26340.963811393915,0.0
31.39,345.542502,352.293278,557,0.0,0.0,26252.18955243041,0.0
31.400000000000002,345.542502,351.280661,557,0.0,0.0,26176.731361519334,0.0
31.41,345.542502,350.419937,557,0.0,0.0,26112.591932778018,0.0
31.42,345.542502,349.688322,557,0.0,0.0,26058.073448155094,0.0
31.43,339.920232,348.223108,557,0.0,0.0,25948.88863520253,0.0
31.44,335.780802,346.356763,557,0.0,0.0,25809.812343459518,0.0
31.45,342.331768,345.753013,557,0.0,0.0,25764.822102566304,0.0
31.46,343.155198,345.363341,557,0.0,0.0,25735.78452550735,0.0
31.470000000000002,347.565497,345.693664,557,0.0,0.0,25760.399533942254,0.0
31.48,352.620361,346.732669,557,0.0,0.0,25837.8241057671,0.0
31.490000000000002,359.767977,348.687965,558,0.0,0.0,25983.528847891386,0.0
