t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
21.79,447.33451,474.906052,14092,0.0,0.0,35389.04791904765,0.0
21.8,469.556103,474.103559,14092,0.0,0.0,35329.24774780936,0.0
21.81,469.556103,473.421441,14092,0.0,0.0,35278.41768050071,0.0
21.82,469.556103,472.84164,14092,0.0,0.0,35235.21207112575,0.0
21.830000000000002,469.556103,472.348809,14092,0.0,0.0,35198.48729197935,0.0
21.84,469.556103,471.929903,14092,0.0,0.0,35167.271255786196,0.0
21.85,488.227668,474.374568,14093,0.0,0.0,35349.44279575011,0.0
21.86,488.227668,476.452533,14093,0.0,0.0,35504.288586089926,0.0
21.87,506.2439,480.921238,14093,0.0,0.0,35837.28753338716,0.0
21.88,487.466609,481.903044,14093,0.0,0.0,35910.44975028224,0.0
21.89,487.466609,482.737578,14093,0.0,0.0,35972.637552673266,0.0
21.900000000000002,463.589297,479.865336,14093,0.0,0.0,35758.603830961285,0.0
21.91,463.589297,477.42393,14093,0.0,0.0,35576.6751451507,0.0
21.92,463.589297,475.348735,14093,0.0,0.0,35422.035769663504,0.0
21.93,463.589297,473.584819,14093,0.0,0.0,35290.5922818699,0.0
21.94,463.589297,472.085491,14093,0.0,0.0,35178.86536195612,0.0
21.95,480.219044,473.305524,14093,0.0,0.0,35269.779777803196,0.0
21.96,480.219044,474.342552,14093,0.0,0.0,35347.057027547315,0.0
21.97,491.263657,476.880718,14093,0.0,0.0,35536.196074780375,0.0
21.98,494.799309,479.568506,14094,0.0,0.0,35736.48465381125,0.0
21.990000000000002,494.799309,481.853127,14094,0.0,0.0,35906.730035409084,0.0
22.0,479.288744,481.46847,14094,0.0,0.0,35878.06616610679,0.0
22.01,479.288744,481.141511,14094,0.0,0.0,35853.70183621494,0.0
22.02,479.288744,480.863596,14094,0.0,0.0,35832.992166984564,0.0
22.03,479.288744,480.627368,14094,0.0,0.0,35815.38892950925,0.0
22.04,479.288744,480.426574,14094,0.0,0.0,35800.42616275164,0.0
22.05,457.614259,477.004727,14094,0.0,0.0,35545.43697711235,0.0
22.06,472.493905,476.328104,14094,0.0,0.0,35495.01638619907,0.0
22.07,472.493905,475.752974,14094,0.0,0.0,35452.15885038969,0.0
22.080000000000002,479.994648,476.389225,14094,0.0,0.0,35499.571000714415,0.0
22.09,479.994648,476.930038,14094,0.0,0.0,35539.87130240912,0.0
22.1,488.996215,478.739965,14095,0.0,0.0,35674.74343777828,0.0
22.11,488.996215,480.278402,14095,0.0,0.0,35789.384682049975,0.0
22.12,488.996215,481.586074,14095,0.0,0.0,35886.82978066581,0.0
22.13,488.996215,482.697595,14095,0.0,0.0,35969.658099585664,0.0
22.14,488.996215,483.642388,14095,0.0,0.0,36040.06218184524,0.0
22.150000000000002,491.777134,484.8626,14095,0.0,0.0,36130.98993641385,0.0
22.16,491.777134,485.89978,14095,0.0,0.0,36208.27851289355,0.0
22.17,457.717828,481.672487,14095,0.0,0.0,35893.26910436983,0.0
22.18,457.717828,478.079288,14095,0.0,0.0,35625.51111085057,0.0
22.19,468.690968,476.67104,14095,0.0,0.0,35520.5712901344,0.0
22.2,479.66709,477.120448,14096,0.0,0.0,35554.060274282376,0.0
22.21,479.66709,477.502444,14096,0.0,0.0,35582.52585119376,0.0
22.22,479.66709,477.827141,14096,0.0,0.0,35606.72162137561,0.0
22.23,479.66709,478.103133,14096,0.0,0.0,35627.287992497106,0.0
22.240000000000002,479.66709,478.337727,14096,0.0,0.0,35644.76946756477,0.0
22.25,501.211529,481.768797,14096,0.0,0.0,35900.44593269352,0.0
22.26,487.427471,482.617598,14096,0.0,0.0,35963.69688335257,0.0
22.27,487.427471,483.339079,14096,0.0,0.0,36017.46020259046,0.0
22.28,465.00658,480.589204,14096,0.0,0.0,35812.54502465882,0.0
22.29,465.00658,478.25181,14096,0.0,0.0,35638.36710478742,0.0
22.3,469.566725,476.949048,14096,0.0,0.0,35541.28788953853,0.0
22.31,469.566725,475.841699,14096,0.0,0.0,35458.77045970356,0.0
22.32,469.566725,474.900453,14096,0.0,0.0,35388.63069278054,0.0
22.330000000000002,469.566725,474.100394,14096,0.0,0.0,35329.01189834777,0.0
22.34,469.566725,473.420344,14096,0.0,0.0,35278.33593425762,0.0
22.35,493.212892,476.389226,14097,0.0,0.0,35499.571075232416,0.0
22.36,502.444781,480.297559,14097,0.0,0.0,35790.81222332498,0.0
22.37,502.444781,483.619643,14097,0.0,0.0,36038.367269995775,0.0
22.38,494.990521,485.325274,14097,0.0,0.0,36165.46747631451,0.0
22.39,494.990521,486.775061,14097,0.0,0.0,36273.502700122124,0.0
22.400000000000002,464.630775,483.453418,14097,0.0,0.0,36025.980515888165,0.0
22.41,464.630775,480.630022,14097,0.0,0.0,35815.586700274194,0.0
22.42,464.630775,478.230135,14097,0.0,0.0,35636.75192719512,0.0
22.43,464.630775,476.190231,14097,0.0,0.0,35484.742366351995,0.0
22.44,464.630775,474.456312,14097,0.0,0.0,35355.534194924556,0.0
22.45,486.156447,476.211333,14097,0.0,0.0,35486.31484513185,0.0
22.46,502.475479,480.150955,14097,0.0,0.0,35779.88758684315,0.0
22.47,502.475479,483.499633,14097,0.0,0.0,36029.42436513517,0.0
22.48,479.983705,482.972244,14098,0.0,0.0,35990.12439303673,0.0
22.490000000000002,479.983705,482.523963,14098,0.0,0.0,35956.71939067176,0.0
22.5,483.374775,482.651585,14098,0.0,0.0,35966.229526528114,0.0
22.51,483.374775,482.760063,14098,0.0,0.0,35974.31308984342,0.0
22.52,483.374775,482.85227,14098,0.0,0.0,35981.184170824024,0.0
22.53,483.374775,482.930646,14098,0.0,0.0,35987.02459338343,0.0
22.54,483.374775,482.997265,14098,0.0,0.0,35991.98890784814,0.0
22.55,452.887702,478.480831,14098,0.0,0.0,35655.433291055924,0.0
22.56,464.952342,476.451558,14098,0.0,0.0,35504.21593104252,0.0
22.57,464.952342,474.726675,14098,0.0,0.0,35375.681104239025,0.0
22.580000000000002,480.001032,475.517829,14098,0.0,0.0,35434.636315905496,0.0
22.59,480.001032,476.190309,14098,0.0,0.0,35484.74817875579,0.0
22.6,494.191044,478.890419,14099,0.0,0.0,35685.95496854987,0.0
22.61,494.191044,481.185513,14099,0.0,0.0,35856.98077713384,0.0
22.62,494.191044,483.136343,14099,0.0,0.0,36002.35272188201,0.0
22.63,494.191044,484.794548,14099,0.0,0.0,36125.91883765895,0.0
22.64,494.191044,486.204022,14099,0.0,0.0,36230.950017439856,0.0
22.650000000000002,468.093549,483.487451,14099,0.0,0.0,36028.51658689159,0.0
22.66,457.498033,479.589038,14099,0.0,0.0,35738.014657332606,0.0
22.67,449.900572,475.135768,14099,0.0,0.0,35406.16589532429,0.0
22.68,449.900572,471.350489,14099,0.0,0.0,35124.094484876216,0.0
22.69,465.053946,470.406008,14099,0.0,0.0,35053.71365223181,0.0
22.7,485.264443,472.634773,14100,0.0,0.0,35219.7967565703,0.0
22.71,485.264443,474.529223,14100,0.0,0.0,35360.96737662851,0.0
22.72,485.264443,476.139506,14100,0.0,0.0,35480.96244093699,0.0
22.73,485.264443,477.508247,14100,0.0,0.0,35582.958279132305,0.0
22.740000000000002,485.264443,478.671676,14100,0.0,0.0,35669.65467825802,0.0
22.75,485.264443,479.660591,14100,0.0,0.0,35743.34664359618,0.0
22.76,485.264443,480.501169,14100,0.0,0.0,35805.98483276311,0.0
22.77,485.264443,481.21566,14100,0.0,0.0,35859.227271199605,0.0
22.78,488.054736,482.241521,14100,0.0,0.0,35935.67237846743,0.0
22.79,488.054736,483.113504,14100,0.0,0.0,36000.65080534079,0.0
22.8,466.99655,480.695961,14100,0.0,0.0,35820.5003425007,0.0
22.81,466.99655,478.641049,14100,0.0,0.0,35667.37241555353,0.0
22.82,466.99655,476.894374,14100,0.0,0.0,35537.21369255204,0.0
22.830000000000002,466.99655,475.409701,14100,0.0,0.0,35426.57883388925,0.0
22.84,466.99655,474.147728,14100,0.0,0.0,35332.5391332338,0.0
22.85,497.880237,477.707605,14100,0.0,0.0,35597.81403804574,0.0
22.86,502.359189,481.405342,14101,0.0,0.0,35873.36199397079,0.0
22.87,502.111968,484.511336,14101,0.0,0.0,36104.814446596676,0.0
22.88,502.111968,487.151431,14101,0.0,0.0,36301.54903878048,0.0
22.89,461.505235,483.304501,14101,0.0,0.0,36014.88351927848,0.0
22.900000000000002,459.296683,479.703329,14101,0.0,0.0,35746.53139376643,0.0
22.91,459.296683,476.642332,14101,0.0,0.0,35518.43202746681,0.0
22.92,459.296683,474.040484,14101,0.0,0.0,35324.547525127215,0.0
22.93,459.296683,471.828914,14101,0.0,0.0,35159.745757752964,0.0
22.94,459.296683,469.949079,14101,0.0,0.0,35019.66421822585,0.0
22.95,476.992657,471.005616,14101,0.0,0.0,35098.39523958004,0.0
22.96,476.992657,471.903672,14101,0.0,0.0,35165.316574198005,0.0
22.97,491.252874,474.806052,14101,0.0,0.0,35381.59611931378,0.0
22.98,494.95387,477.828225,14102,0.0,0.0,35606.80239888473,0.0
22.990000000000002,494.95387,480.397072,14102,0.0,0.0,35798.22773279414,0.0
23.0,483.114502,480.804686,14102,0.0,0.0,35828.602311761344,0.0
23.01,483.114502,481.151159,14102,0.0,0.0,35854.42078585326,0.0
23.02,483.114502,481.44566,14102,0.0,0.0,35876.36641058749,0.0
23.03,483.114502,481.695987,14102,0.0,0.0,35895.02027730729,0.0
23.04,483.114502,481.908764,14102,0.0,0.0,35910.87599322702,0.0
23.05,453.701084,477.677612,14102,0.0,0.0,35595.57901975157,0.0
23.06,457.43788,474.641652,14102,0.0,0.0,35369.3453605513,0.0
23.07,457.43788,472.061086,14102,0.0,0.0,35177.04675023108,0.0
23.080000000000002,483.74746,473.814042,14102,0.0,0.0,35307.67352077385,0.0
23.09,483.74746,475.304055,14102,0.0,0.0,35418.706305542415,0.0
23.1,494.717483,478.216069,14103,0.0,0.0,35635.70375704455,0.0
23.11,494.717483,480.691281,14103,0.0,0.0,35820.15159827316,0.0
23.12,494.717483,482.795212,14103,0.0,0.0,35976.932322931876,0.0
23.13,494.717483,484.583552,14103,0.0,0.0,36110.195838292486,0.0
23.14,494.717483,486.103642,14103,0.0,0.0,36223.469900867,0.0
23.150000000000002,466.297905,483.132782,14103,0.0,0.0,36002.08736329349,0.0
23.16,457.445472,479.279685,14103,0.0,0.0,35714.9622913019,0.0
23.17,457.445472,476.004553,14103,0.0,0.0,35470.90601364215,0.0
23.18,453.750567,472.666455,14103,0.0,0.0,35222.15763576198,0.0
23.19,453.750567,469.829072,14103,0.0,0.0,35010.721536919234,0.0
23.2,487.323953,472.453304,14104,0.0,0.0,35206.27405011124,0.0
23.21,487.323953,474.683902,14104,0.0,0.0,35372.49374593886,0.0
23.22,487.323953,476.579909,14104,0.0,0.0,35513.78039051893,0.0
23.23,487.323953,478.191516,14104,0.0,0.0,35633.87411665589,0.0
23.240000000000002,487.323953,479.561382,14104,0.0,0.0,35735.953787598206,0.0
23.25,498.087345,482.340276,14104,0.0,0.0,35943.03140329461,0.0
23.26,498.087345,484.702336,14104,0.0,0.0,36119.047384088364,0.0
23.27,483.804476,484.567657,14104,0.0,0.0,36109.01137472478,0.0
23.28,457.426583,480.496496,14104,0.0,0.0,35805.63661016154,0.0
23.29,457.426583,477.036009,14104,0.0,0.0,35547.76804910509,0.0
23.3,468.883941,475.813199,14104,0.0,0.0,35456.646696779404,0.0
23.31,468.883941,474.77381,14104,0.0,0.0,35379.19351004359,0.0
23.32,468.883941,473.89033,14104,0.0,0.0,35313.35834975483,0.0
23.330000000000002,468.883941,473.139372,14104,0.0,0.0,35257.39846350938,0.0
23.34,468.883941,472.501057,14104,0.0,0.0,35209.832508038155,0.0
23.35,485.647562,474.473033,14104,0.0,0.0,35356.780210358054,0.0
23.36,502.424938,478.665819,14105,0.0,0.0,35669.21822634761,0.0
23.37,502.424938,482.229686,14105,0.0,0.0,35934.790457968935,0.0
23.38,498.754439,484.708399,14105,0.0,0.0,36119.49918670623,0.0
23.39,498.754439,486.815305,14105,0.0,0.0,36276.50160240703,0.0
23.400000000000002,462.60258,483.183396,14105,0.0,0.0,36005.85901721078,0.0
23.41,462.60258,480.096274,14105,0.0,0.0,35775.81286823067,0.0
23.42,462.60258,477.47222,14105,0.0,0.0,35580.27361924219,0.0
23.43,462.60258,475.241774,14105,0.0,0.0,35414.065250150175,0.0
23.44,462.60258,473.345895,14105,0.0,0.0,35272.78814387375,0.0
23.45,478.793281,474.163003,14105,0.0,0.0,35333.67739564315,0.0
23.46,487.433465,476.153572,14105,0.0,0.0,35482.010611087564,0.0
23.47,487.433465,477.845556,14105,0.0,0.0,35608.09387029661,0.0
23.48,491.247568,479.855858,14106,0.0,0.0,35757.897549382506,0.0
23.490000000000002,491.247568,481.564614,14106,0.0,0.0,35885.23062444292,0.0
23.5,483.639452,481.87584,14106,0.0,0.0,35908.42256268264,0.0
23.51,483.639452,482.140382,14106,0.0,0.0,35928.1357027346,0.0
23.52,483.639452,482.365242,14106,0.0,0.0,35944.891819616176,0.0
23.53,483.639452,482.556374,14106,0.0,0.0,35959.13459348351,0.0
23.54,483.639452,482.718836,14106,0.0,0.0,35971.24093636714,0.0
23.55,456.88281,478.843432,14106,0.0,0.0,35682.45359140892,0.0
23.56,449.970302,474.512462,14106,0.0,0.0,35359.718380475126,0.0
23.57,449.970302,470.831138,14106,0.0,0.0,35085.39348844039,0.0
23.580000000000002,480.018049,472.209175,14106,0.0,0.0,35188.082045938965,0.0
23.59,480.018049,473.380506,14106,0.0,0.0,35275.367286279645,0.0
23.6,492.71462,476.280623,14107,0.0,0.0,35491.47819716743,0.0
23.61,492.71462,478.745723,14107,0.0,0.0,35675.172512406956,0.0
23.62,492.71462,480.841057,14107,0.0,0.0,35831.312605842555,0.0
23.63,492.71462,482.622092,14107,0.0,0.0,35964.0317672326,0.0
23.64,492.71462,484.135971,14107,0.0,0.0,36076.84299852565,0.0
23.650000000000002,478.283223,483.258059,14107,0.0,0.0,36011.422754446074,0.0
23.66,457.49268,479.393252,14107,0.0,0.0,35723.42507670566,0.0
23.67,457.49268,476.108166,14107,0.0,0.0,35478.6270469004,0.0
