t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
52.300000000000004,1274.544853,1265.486944,461,0.0,0.0,94301.55272509594,0.0
52.31,1274.544853,1266.84563,461,0.0,0.0,94402.79928482803,0.0
52.32,1274.544853,1268.000514,461,0.0,0.0,94488.85892766649,0.0
52.33,1274.544853,1268.982165,461,0.0,0.0,94562.00959427196,0.0
52.34,1274.544853,1269.816568,462,0.0,0.0,94624.18763480535,0.0
52.35,1274.544853,1270.525811,462,0.0,0.0,94677.03900279179,0.0
52.36,1270.528623,1270.526232,462,0.0,0.0,94677.07037486866,0.0
52.370000000000005,1270.528623,1270.526591,462,0.0,0.0,94677.09712682973,0.0
52.38,1270.528623,1270.526896,462,0.0,0.0,94677.11985481891,0.0
52.39,1271.605941,1270.688752,463,0.0,0.0,94689.18103979615,0.0
52.4,1272.443354,1270.951943,464,0.0,0.0,94708.79350603373,0.0
52.410000000000004,1272.443354,1271.175654,464,0.0,0.0,94725.46400173633,0.0
52.42,1272.443354,1271.365809,464,0.0,0.0,94739.63397152028,0.0
52.43,1272.443354,1271.527441,464,0.0,0.0,94751.67846446611,0.0
52.44,1272.443354,1271.664828,464,0.0,0.0,94761.91626856648,0.0
52.45,1272.443354,1271.781607,464,0.0,0.0,94770.61840577767,0.0
52.46,1271.992548,1271.813248,464,0.0,0.0,94772.97622973149,0.0
52.47,1271.992548,1271.840143,464,0.0,0.0,94774.9803912699,0.0
52.480000000000004,1271.992548,1271.863004,465,0.0,0.0,94776.68394720707,0.0
52.49,1275.488965,1272.406898,465,0.0,0.0,94817.21383885157,0.0
52.5,1270.907498,1272.181988,466,0.0,0.0,94800.45399607014,0.0
52.51,1270.907498,1271.990814,466,0.0,0.0,94786.20809244693,0.0
52.52,1270.907498,1271.828317,466,0.0,0.0,94774.09914143338,0.0
52.53,1270.907498,1271.690194,466,0.0,0.0,94763.80649208695,0.0
52.54,1270.907498,1271.57279,466,0.0,0.0,94755.05778112741,0.0
52.550000000000004,1270.907498,1271.472996,466,0.0,0.0,94747.621332101,0.0
52.56,1270.093028,1271.266001,466,0.0,0.0,94732.19647924189,0.0
52.57,1270.093028,1271.090055,466,0.0,0.0,94719.08533568213,0.0
52.58,1277.229374,1272.010953,467,0.0,0.0,94787.70881039531,0.0
52.59,1277.229374,1272.793716,467,0.0,0.0,94846.0387415461,0.0
52.6,1268.703891,1272.180242,468,0.0,0.0,94800.3238876468,0.0
52.61,1268.703891,1271.65879,468,0.0,0.0,94761.46632889855,0.0
52.620000000000005,1268.703891,1271.215555,468,0.0,0.0,94728.43734434815,0.0
52.63,1268.703891,1270.838805,468,0.0,0.0,94700.36268885082,0.0
52.64,1268.703891,1270.518568,468,0.0,0.0,94676.49926893706,0.0
52.65,1268.703891,1270.246367,468,0.0,0.0,94656.21539554349,0.0
52.660000000000004,1268.703891,1270.014995,468,0.0,0.0,94638.97401746323,0.0
52.67,1268.703891,1269.81833,469,0.0,0.0,94624.31893551664,0.0
52.68,1268.703891,1269.651164,469,0.0,0.0,94611.86205997354,0.0
52.69,1284.087708,1271.816646,469,0.0,0.0,94773.22944188645,0.0
52.7,1275.323647,1272.342696,470,0.0,0.0,94812.42963438641,0.0
52.71,1275.323647,1272.789839,470,0.0,0.0,94845.74983527046,0.0
52.72,1275.323647,1273.16991,470,0.0,0.0,94874.07196503694,0.0
52.730000000000004,1275.323647,1273.49297,470,0.0,0.0,94898.14574925715,0.0
52.74,1275.323647,1273.767572,470,0.0,0.0,94918.60854036236,0.0
52.75,1275.323647,1274.000983,470,0.0,0.0,94936.00186063915,0.0
52.76,1266.720385,1272.908893,470,0.0,0.0,94854.62150092558,0.0
52.77,1266.720385,1271.980617,471,0.0,0.0,94785.44823242807,0.0
52.78,1266.720385,1271.191582,471,0.0,0.0,94726.65092439794,0.0
52.79,1275.588937,1271.851185,471,0.0,0.0,94775.80321899652,0.0
52.800000000000004,1271.752019,1271.83631,472,0.0,0.0,94774.6947637861,0.0
52.81,1271.752019,1271.823667,472,0.0,0.0,94773.75263274573,0.0
52.82,1271.752019,1271.812919,472,0.0,0.0,94772.95171331035,0.0
52.83,1271.752019,1271.803784,472,0.0,0.0,94772.27099140466,0.0
52.84,1271.752019,1271.79602,472,0.0,0.0,94771.69243367334,0.0
52.85,1271.752019,1271.789419,472,0.0,0.0,94771.20054037288,0.0
52.86,1268.551699,1271.303761,473,0.0,0.0,94735.0102788214,0.0
52.870000000000005,1268.551699,1270.890952,473,0.0,0.0,94704.24857885802,0.0
52.88,1268.551699,1270.540064,473,0.0,0.0,94678.10110780786,0.0
52.89,1277.437514,1271.574682,473,0.0,0.0,94755.19876917839,0.0
52.9,1270.942013,1271.479781,474,0.0,0.0,94748.12693671294,0.0
52.910000000000004,1270.942013,1271.399116,474,0.0,0.0,94742.11594245763,0.0
52.92,1270.942013,1271.330551,474,0.0,0.0,94737.0066159701,0.0
52.93,1270.942013,1271.27227,474,0.0,0.0,94732.6636325672,0.0
52.94,1270.942013,1271.222731,474,0.0,0.0,94728.97208549705,0.0
52.95,1270.942013,1271.180624,475,0.0,0.0,94725.83435618311,0.0
52.96,1277.110754,1272.070143,475,0.0,0.0,94792.11953065779,0.0
52.97,1277.110754,1272.826235,475,0.0,0.0,94848.46199230159,0.0
52.980000000000004,1268.549169,1272.184675,475,0.0,0.0,94800.65422592897,0.0
52.99,1268.549169,1271.639349,475,0.0,0.0,94760.01762451229,0.0
53.0,1248.905463,1268.229266,476,0.0,0.0,94505.90506859368,0.0
53.01,1248.905463,1265.330696,476,0.0,0.0,94289.9094370478,0.0
53.02,1248.905463,1262.866911,476,0.0,0.0,94106.31311297475,0.0
53.03,1248.905463,1260.772693,476,0.0,0.0,93950.25618162418,0.0
53.04,1248.905463,1258.992609,476,0.0,0.0,93817.60788684961,0.0
53.050000000000004,1248.905463,1257.479537,477,0.0,0.0,93704.85679158042,0.0
53.06,1320.959995,1267.001606,477,0.0,0.0,94414.42230398093,0.0
53.07,1320.959995,1275.095364,477,0.0,0.0,95017.55294108465,0.0
53.08,1320.959995,1281.975058,477,0.0,0.0,95530.21396026741,0.0
53.09,1269.589143,1280.117171,477,0.0,0.0,95391.76794174589,0.0
53.1,1243.606178,1274.640522,478,0.0,0.0,94983.65902613914,0.0
53.11,1243.606178,1269.985371,478,0.0,0.0,94636.7664963101,0.0
53.120000000000005,1243.606178,1266.028492,478,0.0,0.0,94341.9077975187,0.0
53.13,1243.606178,1262.665145,478,0.0,0.0,94091.27791472372,0.0
53.14,1243.606178,1259.8063,479,0.0,0.0,93878.2425106221,0.0
53.15,1243.606178,1257.376282,479,0.0,0.0,93697.16243576522,0.0
53.160000000000004,1321.467613,1266.989981,479,0.0,0.0,94413.55603226185,0.0
53.17,1321.467613,1275.161626,479,0.0,0.0,95022.49065262431,0.0
53.18,1268.442304,1274.153728,479,0.0,0.0,94947.38411214264,0.0
53.19,1268.442304,1273.297014,480,0.0,0.0,94883.54350057068,0.0
53.2,1248.808674,1269.623763,481,0.0,0.0,94609.82019232845,0.0
53.21,1248.808674,1266.5015,481,0.0,0.0,94377.15540640386,0.0
53.22,1248.808674,1263.847576,481,0.0,0.0,94179.39030483487,0.0
53.230000000000004,1248.808674,1261.591741,481,0.0,0.0,94011.28999830842,0.0
53.24,1248.808674,1259.674281,481,0.0,0.0,93868.40471913146,0.0
53.25,1248.808674,1258.04444,481,0.0,0.0,93746.952231831,0.0
53.26,1321.293934,1267.531864,481,0.0,0.0,94453.93606821373,0.0
53.27,1321.293934,1275.596174,481,0.0,0.0,95054.87229933182,0.0
53.28,1321.293934,1282.450838,481,0.0,0.0,95565.66813304118,0.0
53.29,1271.516883,1280.810745,482,0.0,0.0,95443.45168723205,0.0
53.300000000000004,1246.313776,1275.6362,483,0.0,0.0,95057.85495669328,0.0
53.31,1246.313776,1271.237836,483,0.0,0.0,94730.09767984686,0.0
53.32,1246.313776,1267.499227,483,0.0,0.0,94451.50402433457,0.0
53.33,1246.313776,1264.321409,483,0.0,0.0,94214.69939106783,0.0
53.34,1246.313776,1261.620264,483,0.0,0.0,94013.41547514652,0.0
53.35,1246.313776,1259.324291,483,0.0,0.0,93842.3241652429,0.0
53.36,1321.276637,1268.617143,483,0.0,0.0,94534.80888584742,0.0
53.370000000000005,1321.276637,1276.516067,483,0.0,0.0,95123.42088345767,0.0
53.38,1206.896741,1266.073168,484,0.0,0.0,94345.2369635678,0.0
53.39,1206.896741,1257.196704,484,0.0,0.0,93683.78064283912,0.0
53.4,1273.333581,1259.617236,485,0.0,0.0,93864.15383997328,0.0
53.410000000000004,1273.333581,1261.674687,485,0.0,0.0,94017.47096811567,0.0
