t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
234.94,230.015406,229.24686,1656,0.0,0.0,17083.01690337525,0.0
234.95000000000002,227.180937,228.936971,1656,0.0,0.0,17059.924595697972,0.0
234.96,230.684055,229.199034,1656,0.0,0.0,17079.453005634532,0.0
234.97,233.325037,229.817934,1656,0.0,0.0,17125.57219418743,0.0
234.98000000000002,229.892104,229.82906,1656,0.0,0.0,17126.401281425813,0.0
234.99,225.601604,229.194941,1657,0.0,0.0,17079.148003471426,0.0
235.0,228.658537,229.114481,1657,0.0,0.0,17073.15228540556,0.0
235.01,227.574235,228.883444,1657,0.0,0.0,17055.935870854428,0.0
235.02,227.574235,228.687063,1657,0.0,0.0,17041.301952019065,0.0
235.03,227.574235,228.520138,1657,0.0,0.0,17028.86303531331,0.0
235.04,227.574235,228.378253,1657,0.0,0.0,17018.29004926091,0.0
235.05,230.155483,228.644837,1657,0.0,0.0,17038.15535506344,0.0
235.06,225.360577,228.152198,1657,0.0,0.0,17001.444883372522,0.0
235.07,230.684055,228.531977,1657,0.0,0.0,17029.7452538838,0.0
235.08,229.779412,228.719092,1657,0.0,0.0,17043.688688955823,0.0
235.09,229.441997,228.827528,1657,0.0,0.0,17051.769122515238,0.0
235.1,231.253083,229.191361,1657,0.0,0.0,17078.881229040955,0.0
235.11,228.658537,229.111437,1657,0.0,0.0,17072.92545262166,0.0
235.12,228.658537,229.043502,1657,0.0,0.0,17067.863072472457,0.0
235.13,228.658537,228.985757,1657,0.0,0.0,17063.560030716137,0.0
235.14000000000001,228.658537,228.936674,1657,0.0,0.0,17059.902463852763,0.0
235.15,225.144092,228.367787,1657,0.0,0.0,17017.510143900767,0.0
235.16,226.887706,228.145775,1657,0.0,0.0,17000.966254275616,0.0
235.17000000000002,228.881836,228.256184,1657,0.0,0.0,17009.193711843778,0.0
235.18,229.892104,228.501572,1657,0.0,0.0,17027.47953417472,0.0
235.19,226.692638,228.230232,1657,0.0,0.0,17007.259820776846,0.0
235.20000000000002,232.399603,228.855638,1657,0.0,0.0,17053.863823420426,0.0
235.21,230.91133,229.163992,1657,0.0,0.0,17076.841745971793,0.0
235.22,230.91133,229.426092,1657,0.0,0.0,17096.372913074254,0.0
235.23000000000002,230.91133,229.648878,1657,0.0,0.0,17112.974479629345,0.0
235.24,230.91133,229.838246,1657,0.0,0.0,17127.08580374937,0.0
235.25,227.548544,229.49479,1658,0.0,0.0,17101.492150455422,0.0
235.26,224.497126,228.745141,1658,0.0,0.0,17045.6298082685,0.0
235.27,229.66683,228.883394,1658,0.0,0.0,17055.93214495456,0.0
235.28,223.925159,228.139659,1658,0.0,0.0,17000.51050220389,0.0
235.29,226.230695,227.853314,1658,0.0,0.0,16979.17264625596,0.0
235.3,229.441997,228.091617,1658,0.0,0.0,16996.930508575755,0.0
235.31,230.559785,228.461842,1658,0.0,0.0,17024.51893414045,0.0
235.32,235.552764,229.52548,1658,0.0,0.0,17103.779107793744,0.0
235.33,235.552764,230.429573,1658,0.0,0.0,17171.150307561646,0.0
235.34,235.552764,231.198051,1658,0.0,0.0,17228.41574912046,0.0
235.35,226.449275,230.485735,1658,0.0,0.0,17175.335387328178,0.0
235.36,232.399603,230.772815,1658,0.0,0.0,17196.72801400416,0.0
235.37,230.797637,230.776538,1658,0.0,0.0,17197.005444508253,0.0
235.38,229.15535,230.53336,1658,0.0,0.0,17178.88430695143,0.0
235.39000000000001,227.217644,230.036003,1658,0.0,0.0,17141.82225934907,0.0
235.4,230.797637,230.150248,1658,0.0,0.0,17150.335567955026,0.0
235.41,229.570046,230.063218,1658,0.0,0.0,17143.85026664664,0.0
235.42000000000002,229.570046,229.989242,1658,0.0,0.0,17138.337723275516,0.0
235.43,229.570046,229.926362,1658,0.0,0.0,17133.652031602862,0.0
235.44,229.570046,229.872915,1658,0.0,0.0,17129.669268199104,0.0
235.45000000000002,224.640575,229.088064,1658,0.0,0.0,17071.18374346986,0.0
235.46,231.824926,229.498593,1658,0.0,0.0,17101.775542399304,0.0
235.47,232.514881,229.951036,1658,0.0,0.0,17135.490688669197,0.0
235.48000000000002,229.779412,229.925293,1658,0.0,0.0,17133.57237186371,0.0
235.49,232.054455,230.244667,1658,0.0,0.0,17157.371482745744,0.0
235.5,232.630273,230.602508,1658,0.0,0.0,17184.037077431403,0.0
235.51,228.577739,230.298793,1659,0.0,0.0,17161.404843869695,0.0
235.52,228.577739,230.040634,1659,0.0,0.0,17142.16735219475,0.0
