t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
69.3,352.485677,348.861507,399,0.0,0.0,25996.46085018553,0.0
69.31,352.485677,349.405133,399,0.0,0.0,26036.970771006752,0.0
69.32000000000001,352.485677,349.867214,399,0.0,0.0,26071.404121735002,0.0
69.33,352.485677,350.259984,399,0.0,0.0,26100.672555549703,0.0
69.34,350.031114,350.225653,399,0.0,0.0,26098.11427818307,0.0
69.35000000000001,341.796875,348.961336,399,0.0,0.0,26003.899907341853,0.0
69.36,347.222222,348.700469,399,0.0,0.0,25984.460620930113,0.0
69.37,338.366218,347.150331,399,0.0,0.0,25868.947441571563,0.0
69.38,342.868339,346.508033,399,0.0,0.0,25821.084680916938,0.0
69.39,340.496368,345.606283,399,0.0,0.0,25753.888076816802,0.0
69.4,344.546532,345.44732,400,0.0,0.0,25742.042472405858,0.0
69.41,344.546532,345.312202,400,0.0,0.0,25731.973749641453,0.0
69.42,344.546532,345.197352,400,0.0,0.0,25723.41535764711,0.0
69.43,344.546532,345.099729,400,0.0,0.0,25716.14068719292,0.0
69.44,346.70858,345.341056,400,0.0,0.0,25734.12389193666,0.0
69.45,355.652504,346.887774,400,0.0,0.0,25849.38221974431,0.0
69.46000000000001,351.386807,347.562628,400,0.0,0.0,25899.670988320297,0.0
69.47,356.012658,348.830133,400,0.0,0.0,25994.12292253703,0.0
69.48,350.860778,349.13473,400,0.0,0.0,26016.82088097239,0.0
69.49,355.450237,350.082056,400,0.0,0.0,26087.413717319236,0.0
69.5,347.222222,349.653081,400,0.0,0.0,26055.447359410875,0.0
69.51,347.222222,349.288452,400,0.0,0.0,26028.275936559283,0.0
69.52,347.222222,348.978518,400,0.0,0.0,26005.18027557213,0.0
69.53,347.222222,348.715073,400,0.0,0.0,25985.548881763247,0.0
69.54,339.182344,347.285164,400,0.0,0.0,25878.994926706724,0.0
69.55,341.263651,346.381937,400,0.0,0.0,25811.688259524522,0.0
69.56,342.153285,345.747639,400,0.0,0.0,25764.421642848603,0.0
69.57000000000001,339.322647,344.78389,400,0.0,0.0,25692.60499743147,0.0
69.58,347.222222,345.14964,400,0.0,0.0,25719.859954958087,0.0
69.59,343.826406,344.951155,400,0.0,0.0,25705.06925025632,0.0
69.60000000000001,351.493849,345.932559,401,0.0,0.0,25778.20151091647,0.0
69.61,351.493849,346.766753,401,0.0,0.0,25840.36397718839,0.0
69.62,351.493849,347.475817,401,0.0,0.0,25893.20200645333,0.0
69.63,351.493849,348.078522,401,0.0,0.0,25938.114376039328,0.0
69.64,355.603448,349.207261,401,0.0,0.0,26022.22574583736,0.0
69.65,353.151683,349.798924,401,0.0,0.0,26066.315287696747,0.0
69.66,354.219144,350.461957,401,0.0,0.0,26115.723179026183,0.0
69.67,348.945409,350.234475,401,0.0,0.0,26098.771675955588,0.0
69.68,347.737389,349.859912,401,0.0,0.0,26070.859991318433,0.0
69.69,346.537703,349.361581,401,0.0,0.0,26033.725363186662,0.0
69.7,341.994789,348.256562,401,0.0,0.0,25951.381560285503,0.0
69.71000000000001,341.994789,347.317296,401,0.0,0.0,25881.38933899721,0.0
69.72,341.994789,346.51892,401,0.0,0.0,25821.89595835396,0.0
69.73,341.994789,345.8403,401,0.0,0.0,25771.326555000003,0.0
69.74,337.716138,344.621676,401,0.0,0.0,25680.517135011178,0.0
69.75,345.758693,344.792228,401,0.0,0.0,25693.22632849328,0.0
69.76,342.153285,344.396387,401,0.0,0.0,25663.729049908754,0.0
69.77,349.292101,345.130744,401,0.0,0.0,25718.451862880378,0.0
69.78,350.510967,345.937778,402,0.0,0.0,25778.590420344575,0.0
69.79,352.974398,346.993271,402,0.0,0.0,25857.24364490955,0.0
69.8,354.287791,348.087449,402,0.0,0.0,25938.779598201567,0.0
69.81,354.287791,349.0175,402,0.0,0.0,26008.08513614438,0.0
69.82000000000001,354.287791,349.808043,402,0.0,0.0,26066.994817314477,0.0
69.83,354.287791,350.480006,402,0.0,0.0,26117.068154360153,0.0
69.84,352.178813,350.734827,402,0.0,0.0,26136.05690495998,0.0
69.85000000000001,348.945409,350.466414,402,0.0,0.0,26116.055305740323,0.0
69.86,349.639483,350.342374,402,0.0,0.0,26106.812093350436,0.0
69.87,341.322816,348.989441,402,0.0,0.0,26005.994235657054,0.0
69.88,346.671949,348.641817,402,0.0,0.0,25980.0899913502,0.0
69.89,337.878424,347.027308,402,0.0,0.0,25859.780013984964,0.0
69.9,342.034399,346.278372,402,0.0,0.0,25803.97080313014,0.0
69.91,342.034399,345.641776,402,0.0,0.0,25756.532944096343,0.0
69.92,342.034399,345.100669,402,0.0,0.0,25716.210734110417,0.0
69.93,342.034399,344.640729,402,0.0,0.0,25681.936926414477,0.0
69.94,347.479615,345.066561,402,0.0,0.0,25713.669074257185,0.0
69.95,347.393775,345.415643,403,0.0,0.0,25739.681965804157,0.0
69.96000000000001,349.118669,345.971097,403,0.0,0.0,25781.073285497907,0.0
69.97,352.797291,346.995026,403,0.0,0.0,25857.37442399488,0.0
69.98,353.684608,347.998464,403,0.0,0.0,25932.14861420839,0.0
69.99,355.652504,349.14657,403,0.0,0.0,26017.703174060884,0.0
70.0,346.872979,348.805531,403,0.0,0.0,25992.289630766503,0.0
70.01,346.872979,348.515648,403,0.0,0.0,25970.68813014398,0.0
70.02,346.872979,348.269248,403,0.0,0.0,25952.32689559974,0.0
70.03,346.872979,348.059808,403,0.0,0.0,25936.719846237123,0.0
70.04,346.872979,347.881783,403,0.0,0.0,25923.453779760915,0.0
70.05,346.872979,347.730463,403,0.0,0.0,25912.17771640363,0.0
70.06,339.673913,346.52198,403,0.0,0.0,25822.123983425816,0.0
70.07000000000001,342.510438,345.920249,403,0.0,0.0,25777.284194369237,0.0
70.08,341.004477,345.182883,403,0.0,0.0,25722.33715674362,0.0
70.09,339.838086,344.381164,403,0.0,0.0,25662.594662435265,0.0
70.10000000000001,346.820809,344.74711,404,0.0,0.0,25689.86422548936,0.0
70.11,346.820809,345.058165,404,0.0,0.0,25713.04342115153,0.0
70.12,346.820809,345.322562,404,0.0,0.0,25732.745756093886,0.0
70.13,346.820809,345.547299,404,0.0,0.0,25749.49270726178,0.0
70.14,355.652504,347.06308,404,0.0,0.0,25862.445671785765,0.0
70.15,350.860778,347.632735,404,0.0,0.0,25904.895221559716,0.0
70.16,356.633381,348.982831,404,0.0,0.0,26005.501671694645,0.0
70.17,349.639483,349.081329,404,0.0,0.0,26012.84154539651,0.0
70.18,355.113636,349.986175,404,0.0,0.0,26080.2688572164,0.0
70.19,348.081683,349.700501,404,0.0,0.0,26058.98100284468,0.0
70.2,345.025877,348.999308,404,0.0,0.0,26006.729504736795,0.0
70.21000000000001,345.025877,348.403293,404,0.0,0.0,25962.315660553002,0.0
70.22,343.406593,347.653788,404,0.0,0.0,25906.464048957692,0.0
70.23,343.406593,347.016709,404,0.0,0.0,25858.990197731167,0.0
70.24,343.226987,346.448251,404,0.0,0.0,25816.62984600004,0.0
70.25,341.986868,345.779043,404,0.0,0.0,25766.76180603703,0.0
70.26,340.002418,344.912549,404,0.0,0.0,25702.19240845107,0.0
70.27,345.394737,344.984878,404,0.0,0.0,25707.58222068057,0.0
70.28,341.820613,344.510238,404,0.0,0.0,25672.212998423754,0.0
70.29,348.42666,345.097701,404,0.0,0.0,25715.989564694315,0.0
70.3,352.525165,346.211821,405,0.0,0.0,25799.011555889258,0.0
70.31,352.525165,347.158822,405,0.0,0.0,25869.58017388696,0.0
70.32000000000001,352.525165,347.963774,405,0.0,0.0,25929.56358488071,0.0
70.33,352.525165,348.647982,405,0.0,0.0,25980.5493948038,0.0
70.34,349.552573,348.783671,405,0.0,0.0,25990.660667344684,0.0
70.35000000000001,354.107649,349.582268,405,0.0,0.0,26050.17051646534,0.0
70.36,351.224784,349.828645,405,0.0,0.0,26068.530037095643,0.0
70.37,349.639483,349.800271,405,0.0,0.0,26066.415663439155,0.0
70.38,349.324639,349.728926,405,0.0,0.0,26061.099176919033,0.0
70.39,342.510438,348.646153,405,0.0,0.0,25980.413101386664,0.0
70.4,341.638709,347.595036,405,0.0,0.0,25902.08596757805,0.0
70.41,341.638709,346.701587,405,0.0,0.0,25835.507937373823,0.0
70.42,341.638709,345.942155,405,0.0,0.0,25778.916585618936,0.0
70.43,341.638709,345.296638,405,0.0,0.0,25730.813951530872,0.0
70.44,348.254086,345.740256,405,0.0,0.0,25763.87147647425,0.0
