t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
51.96,1003.19779,999.399777,547,0.0,0.0,74473.26992273945,0.0
51.97,999.466951,999.409853,547,0.0,0.0,74474.02076608063,0.0
51.980000000000004,996.847181,999.025453,547,0.0,0.0,74445.37604790363,0.0
51.99,996.330972,998.62128,547,0.0,0.0,74415.25788536528,0.0
52.0,1006.578489,999.814862,548,0.0,0.0,74504.20122566476,0.0
52.01,1006.578489,1000.829406,548,0.0,0.0,74579.8030127567,0.0
52.02,1006.578489,1001.691768,548,0.0,0.0,74644.06450197766,0.0
52.03,1006.578489,1002.424776,548,0.0,0.0,74698.68679017086,0.0
52.04,998.189949,1001.789552,548,0.0,0.0,74651.35116982942,0.0
52.050000000000004,998.858447,1001.349887,548,0.0,0.0,74618.58821452952,0.0
52.06,1002.299851,1001.492381,548,0.0,0.0,74629.2065820423,0.0
52.07,1006.805694,1002.289378,548,0.0,0.0,74688.59720236722,0.0
52.08,1002.299851,1002.290949,549,0.0,0.0,74688.714270141,0.0
52.09,995.827011,1001.321358,549,0.0,0.0,74616.46229058344,0.0
52.1,996.993814,1000.672227,550,0.0,0.0,74568.090348453,0.0
52.11,997.340426,1000.172456,550,0.0,0.0,74530.84841440506,0.0
52.120000000000005,997.340426,999.747652,550,0.0,0.0,74499.19287106361,0.0
52.13,997.340426,999.386568,550,0.0,0.0,74472.28561451258,0.0
52.14,997.340426,999.079647,550,0.0,0.0,74449.4144762514,0.0
52.15,997.340426,998.818763,550,0.0,0.0,74429.97392303371,0.0
52.160000000000004,997.340426,998.597013,550,0.0,0.0,74413.44955712385,0.0
52.17,993.114407,997.774622,550,0.0,0.0,74352.16662677453,0.0
52.18,999.813988,998.080527,550,0.0,0.0,74374.96205475042,0.0
52.19,1008.720348,999.6765,550,0.0,0.0,74493.89076651698,0.0
52.2,996.320186,999.173053,551,0.0,0.0,74456.37490431083,0.0
52.21,996.320186,998.745123,551,0.0,0.0,74424.4864177097,0.0
52.22,996.320186,998.381382,551,0.0,0.0,74397.38116683972,0.0
52.230000000000004,996.320186,998.072203,551,0.0,0.0,74374.34176694056,0.0
52.24,993.438213,997.377105,551,0.0,0.0,74322.54445602646,0.0
52.25,1001.908397,998.056798,551,0.0,0.0,74373.19381719155,0.0
52.26,1003.297661,998.842928,551,0.0,0.0,74431.77465043939,0.0
52.27,999.318294,998.914233,552,0.0,0.0,74437.08815623962,0.0
52.28,996.330972,998.526744,552,0.0,0.0,74408.21325196887,0.0
52.29,996.704231,998.253367,552,0.0,0.0,74387.8417454104,0.0
52.300000000000004,1006.684804,999.518082,553,0.0,0.0,74482.08577441458,0.0
52.31,1006.684804,1000.593091,553,0.0,0.0,74562.19329221561,0.0
52.32,1006.684804,1001.506848,553,0.0,0.0,74630.28463390979,0.0
52.33,1006.684804,1002.283541,553,0.0,0.0,74688.16224081673,0.0
52.34,998.157248,1001.664597,553,0.0,0.0,74642.03977347197,0.0
52.35,998.858447,1001.243675,553,0.0,0.0,74610.67350899619,0.0
52.36,1001.80169,1001.327377,553,0.0,0.0,74616.91081440942,0.0
52.370000000000005,1007.308846,1002.224597,553,0.0,0.0,74683.76985198162,0.0
52.38,1002.299851,1002.235885,554,0.0,0.0,74684.61101113557,0.0
52.39,995.827011,1001.274554,554,0.0,0.0,74612.974550236,0.0
52.4,996.625916,1000.577258,554,0.0,0.0,74561.01344876376,0.0
52.410000000000004,996.625916,999.984557,554,0.0,0.0,74516.84655722312,0.0
52.42,987.881981,998.169171,554,0.0,0.0,74381.56762810648,0.0
52.43,987.881981,996.626092,554,0.0,0.0,74266.58047129115,0.0
52.44,1005.72863,997.991473,555,0.0,0.0,74368.32592901541,0.0
52.45,999.913186,998.27973,555,0.0,0.0,74389.80626337425,0.0
52.46,995.862154,997.917093,555,0.0,0.0,74362.78328037336,0.0
52.47,994.388259,997.387768,555,0.0,0.0,74323.33904143209,0.0
52.480000000000004,1001.264755,997.969316,555,0.0,0.0,74366.67483374839,0.0
52.49,1007.8125,999.445794,555,0.0,0.0,74476.69901742297,0.0
52.5,996.438263,998.994664,556,0.0,0.0,74443.08171328357,0.0
52.51,996.438263,998.611204,556,0.0,0.0,74414.5070420241,0.0
52.52,996.438263,998.285263,556,0.0,0.0,74390.21857145354,0.0
52.53,996.438263,998.008213,556,0.0,0.0,74369.57336029086,0.0
52.54,997.340426,997.908045,556,0.0,0.0,74362.10904153345,0.0
52.550000000000004,1002.299851,998.566816,556,0.0,0.0,74411.19933715822,0.0
52.56,1003.297661,999.276442,556,0.0,0.0,74464.07924553766,0.0
52.57,997.84592,999.061864,557,0.0,0.0,74448.08932270475,0.0
52.58,996.847181,998.729662,557,0.0,0.0,74423.33429495285,0.0
52.59,996.330972,998.369858,557,0.0,0.0,74396.52242143839,0.0
52.6,1006.900335,999.64943,558,0.0,0.0,74491.87356432901,0.0
52.61,1006.900335,1000.737065,558,0.0,0.0,74572.92194636445,0.0
52.620000000000005,1006.900335,1001.661556,558,0.0,0.0,74641.81316424206,0.0
52.63,1006.900335,1002.447373,558,0.0,0.0,74700.37067335674,0.0
52.64,1000.275938,1002.121658,558,0.0,0.0,74676.09904385358,0.0
52.65,998.32838,1001.552666,558,0.0,0.0,74633.69889951186,0.0
52.660000000000004,1000.806852,1001.440794,558,0.0,0.0,74625.36242211357,0.0
52.67,1006.303045,1002.170132,558,0.0,0.0,74679.71122925656,0.0
52.68,1002.698736,1002.249422,559,0.0,0.0,74685.61976126554,0.0
52.69,994.921164,1001.150184,559,0.0,0.0,74603.706746907,0.0
