t (s),RPM,Torque,Power (W),N_Re,N_Po
4.76837158203125e-07,0.0,0.0,0.0,0.0,0.0
0.17482972145080566,0.0,0.0,0.0,0.0,0.0
0.32201385498046875,0.0,0.0,0.0,0.0,0.0
0.4694230556488037,0.0,0.0,0.0,0.0,0.0
0.6166782379150391,0.0,0.0,0.0,0.0,0.0
0.7638511657714844,0.0,0.0,0.0,0.0,0.0
0.9110612869262695,0.0,0.0,0.0,0.0,0.0
1.0583789348602295,0.0,0.0,0.0,0.0,0.0
1.2061293125152588,0.0,0.0,0.0,0.0,0.0
1.3536624908447266,0.0,0.0,0.0,0.0,0.0
1.5647501945495605,0.0,0.0,0.0,0.0,0.0
1.7119414806365967,0.0,0.0,0.0,0.0,0.0
1.859025478363037,0.0,0.0,0.0,0.0,0.0
2.006096601486206,0.0,0.0,0.0,0.0,0.0
2.1536591053009033,0.0,0.0,0.0,0.0,0.0
2.3008618354797363,0.0,0.0,0.0,0.0,0.0
2.44787335395813,0.0,0.0,0.0,0.0,0.0
2.5948853492736816,0.0,0.0,0.0,0.0,0.0
2.741842269897461,0.0,0.0,0.0,0.0,0.0
2.8887805938720703,0.0,0.0,0.0,0.0,0.0
3.1015541553497314,0.0,0.0,0.0,0.0,0.0
3.2640762329101562,0.0,0.0,0.0,0.0,0.0
3.4259884357452393,0.0,0.0,0.0,0.0,0.0
3.5884387493133545,0.0,0.0,0.0,0.0,0.0
3.749220132827759,0.0,0.0,0.0,0.0,0.0
3.908921241760254,0.0,0.0,0.0,0.0,0.0
4.072077035903931,0.0,0.0,0.0,0.0,0.0
4.22936749458313,0.0,0.0,0.0,0.0,0.0
4.391836643218994,0.0,0.0,0.0,0.0,0.0
4.552143812179565,0.0,0.0,0.0,0.0,0.0
4.815683126449585,0.0,0.0,0.0,0.0,0.0
4.96299934387207,0.0,0.0,0.0,0.0,0.0
5.110311269760132,0.0,0.0,0.0,0.0,0.0
5.257445335388184,0.0,0.0,0.0,0.0,0.0
5.404595136642456,0.0,0.0,0.0,0.0,0.0
5.551754951477051,0.0,0.0,0.0,0.0,0.0
5.6987082958221436,0.0,0.0,0.0,0.0,0.0
5.8459413051605225,0.0,0.0,0.0,0.0,0.0
5.992797374725342,0.0,0.0,0.0,0.0,0.0
6.140307426452637,0.0,0.0,0.0,0.0,0.0
6.352066516876221,0.0,0.0,0.0,0.0,0.0
6.499146223068237,0.0,0.0,0.0,0.0,0.0
6.6460747718811035,0.0,0.0,0.0,0.0,0.0
6.7930920124053955,0.0,0.0,0.0,0.0,0.0
6.940227031707764,0.0,0.0,0.0,0.0,0.0
7.087510108947754,0.0,0.0,0.0,0.0,0.0
7.2352073192596436,0.0,0.0,0.0,0.0,0.0
7.3823254108428955,0.0,0.0,0.0,0.0,0.0
7.529487609863281,0.0,0.0,0.0,0.0,0.0
7.676550626754761,0.0,0.0,0.0,0.0,0.0
7.8882317543029785,0.0,0.0,0.0,0.0,0.0
8.035683870315552,0.0,0.0,0.0,0.0,0.0
8.18300199508667,0.0,0.0,0.0,0.0,0.0
8.330102682113647,0.0,0.0,0.0,0.0,0.0
8.477001428604126,0.0,0.0,0.0,0.0,0.0
8.624082088470459,0.0,0.0,0.0,0.0,0.0
8.771126985549927,0.0,0.0,0.0,0.0,0.0
8.918240785598755,0.0,0.0,0.0,0.0,0.0
9.065605640411377,0.0,0.0,0.0,0.0,0.0
9.213354349136353,0.0,0.0,0.0,0.0,0.0
9.423935651779175,0.0,0.0,0.0,0.0,0.0
9.57131290435791,0.0,0.0,0.0,0.0,0.0
9.718511581420898,0.0,0.0,0.0,0.0,0.0
9.880893468856812,0.0,0.0,0.0,0.0,0.0
10.039880275726318,0.0,0.0,0.0,0.0,0.0
10.20291543006897,0.0,0.0,0.0,0.0,0.0
10.364203214645386,0.0,0.0,0.0,0.0,0.0
10.523701190948486,0.0,0.0,0.0,0.0,0.0
10.686230182647705,0.0,0.0,0.0,0.0,0.0
10.846055269241333,0.0,0.0,0.0,0.0,0.0
11.110299587249756,0.0,0.0,0.0,0.0,0.0
11.271721839904785,0.0,0.0,0.0,0.0,0.0
11.43153166770935,0.0,0.0,0.0,0.0,0.0
11.59416937828064,0.0,0.0,0.0,0.0,0.0
11.754065752029419,0.0,0.0,0.0,0.0,0.0
11.916647911071777,0.0,0.0,0.0,0.0,0.0
12.07899785041809,0.0,0.0,0.0,0.0,0.0
12.239004611968994,0.0,0.0,0.0,0.0,0.0
12.40186357498169,0.0,0.0,0.0,0.0,0.0
12.563302993774414,0.0,0.0,0.0,0.0,0.0
12.830177068710327,0.0,0.0,0.0,0.0,0.0
12.989738702774048,0.0,0.0,0.0,0.0,0.0
13.151292085647583,0.0,0.0,0.0,0.0,0.0
13.314120769500732,0.0,0.0,0.0,0.0,0.0
