t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
24.46,491.365061,494.645404,74,0.0,0.0,36859.98489885044,0.0
24.47,491.365061,494.153352,74,0.0,0.0,36823.31816922395,0.0
24.48,491.365061,493.735108,74,0.0,0.0,36792.151463945054,0.0
24.490000000000002,489.642156,493.121166,74,0.0,0.0,36746.40173562296,0.0
24.5,489.294171,492.547116,74,0.0,0.0,36703.6246792507,0.0
24.51,489.294171,492.059175,74,0.0,0.0,36667.264293111286,0.0
24.52,489.294171,491.644424,74,0.0,0.0,36636.35787919707,0.0
24.53,489.294171,491.291886,74,0.0,0.0,36610.0874534513,0.0
24.54,489.294171,490.992229,74,0.0,0.0,36587.7576139228,0.0
24.55,489.294171,490.73752,74,0.0,0.0,36568.77720933865,0.0
24.560000000000002,493.653884,491.174975,74,0.0,0.0,36601.375479864444,0.0
24.57,493.653884,491.546811,74,0.0,0.0,36629.083953922855,0.0
24.580000000000002,493.653884,491.862872,75,0.0,0.0,36652.63618667971,0.0
24.59,489.594725,491.52265,75,0.0,0.0,36627.28352458916,0.0
24.6,483.581852,490.33153,75,0.0,0.0,36538.52364759914,0.0
24.61,483.581852,489.319079,75,0.0,0.0,36463.07782667562,0.0
24.62,483.581852,488.458495,75,0.0,0.0,36398.94883045393,0.0
24.63,483.581852,487.726998,75,0.0,0.0,36344.439138954694,0.0
24.64,483.581852,487.105226,75,0.0,0.0,36298.10593471345,0.0
24.650000000000002,483.581852,486.57672,75,0.0,0.0,36258.72272601198,0.0
24.66,501.857992,488.868911,75,0.0,0.0,36429.532208849676,0.0
24.67,501.857992,490.817273,75,0.0,0.0,36574.72024318041,0.0
24.68,499.852768,492.172597,75,0.0,0.0,36675.71627340542,0.0
24.69,499.852768,493.324623,75,0.0,0.0,36761.56294380749,0.0
24.7,486.613392,492.317938,76,0.0,0.0,36686.54679365663,0.0
24.71,486.613392,491.462256,76,0.0,0.0,36622.78308465789,0.0
24.72,486.613392,490.734927,76,0.0,0.0,36568.583984171564,0.0
24.73,486.613392,490.116697,76,0.0,0.0,36522.51472267688,0.0
24.740000000000002,486.613392,489.591201,76,0.0,0.0,36483.355813147406,0.0
24.75,486.613392,489.14453,76,0.0,0.0,36450.07078475815,0.0
24.76,480.450487,487.840423,76,0.0,0.0,36352.89134280284,0.0
24.77,480.450487,486.731933,76,0.0,0.0,36270.2888879329,0.0
24.78,480.450487,485.789716,76,0.0,0.0,36200.07676403447,0.0
24.79,489.608613,486.362551,76,0.0,0.0,36242.76328103997,0.0
24.8,492.090714,487.221775,77,0.0,0.0,36306.79093278526,0.0
24.810000000000002,492.090714,487.952116,77,0.0,0.0,36361.214481479576,0.0
24.82,492.090714,488.572905,77,0.0,0.0,36407.47443452944,0.0
24.830000000000002,492.090714,489.100577,77,0.0,0.0,36446.79549522114,0.0
24.84,492.090714,489.549097,77,0.0,0.0,36480.21830738747,0.0
24.85,492.090714,489.93034,77,0.0,0.0,36508.627772246844,0.0
24.86,492.090714,490.254396,77,0.0,0.0,36532.77577639242,0.0
24.87,492.090714,490.529843,77,0.0,0.0,36553.301535205355,0.0
24.88,496.244351,491.387019,77,0.0,0.0,36617.17657409212,0.0
24.89,496.244351,492.115619,77,0.0,0.0,36671.470386953064,0.0
24.900000000000002,498.791843,493.117053,77,0.0,0.0,36746.095243099895,0.0
24.91,498.791843,493.968271,77,0.0,0.0,36809.526303758525,0.0
24.92,498.791843,494.691807,77,0.0,0.0,36863.44275748094,0.0
24.93,498.791843,495.306813,77,0.0,0.0,36909.27177295219,0.0
24.94,498.791843,495.829567,78,0.0,0.0,36948.22635413297,0.0
24.95,498.791843,496.273909,78,0.0,0.0,36981.33783010642,0.0
24.96,480.347331,493.884922,78,0.0,0.0,36803.31530319834,0.0
24.97,480.347331,491.854283,78,0.0,0.0,36651.99615160057,0.0
24.98,480.347331,490.128241,78,0.0,0.0,36523.37495843816,0.0
24.990000000000002,489.592293,490.047848,78,0.0,0.0,36517.38423307811,0.0
25.0,498.214941,491.272912,78,0.0,0.0,36608.67354896979,0.0
25.01,498.214941,492.314217,78,0.0,0.0,36686.269512188526,0.0
25.02,498.214941,493.199325,78,0.0,0.0,36752.22598777695,0.0
25.03,498.214941,493.951668,78,0.0,0.0,36808.289081448704,0.0
25.04,498.214941,494.591159,78,0.0,0.0,36855.942670084805,0.0
25.05,498.214941,495.134726,78,0.0,0.0,36896.448194344186,0.0
25.060000000000002,491.648118,494.611735,78,0.0,0.0,36857.47595239805,0.0
25.07,491.648118,494.167192,79,0.0,0.0,36824.34949830712,0.0
