t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
108.72,2475.588495,2486.478375,2164,0.0,0.0,185287.38893087578,0.0
108.73,2475.588495,2484.844893,2164,0.0,0.0,185165.66512354702,0.0
108.74000000000001,2475.588495,2483.456434,2164,0.0,0.0,185062.1999394802,0.0
108.75,2475.588495,2482.276243,2165,0.0,0.0,184974.25446968307,0.0
108.76,2528.961308,2489.279003,2165,0.0,0.0,185496.08612072634,0.0
108.77,2528.961308,2495.231348,2166,0.0,0.0,185939.6429495951,0.0
108.78,2490.234375,2494.481802,2166,0.0,0.0,185883.78828276187,0.0
108.79,2490.234375,2493.844688,2167,0.0,0.0,185836.31182340547,0.0
108.8,2480.478424,2491.839749,2168,0.0,0.0,185686.90778433933,0.0
108.81,2480.478424,2490.13555,2168,0.0,0.0,185559.91428779278,0.0
108.82000000000001,2480.478424,2488.686981,2168,0.0,0.0,185451.96982690593,0.0
108.83,2480.478424,2487.455697,2168,0.0,0.0,185360.21700907077,0.0
108.84,2480.478424,2486.409106,2169,0.0,0.0,185282.22714371813,0.0
108.85000000000001,2480.478424,2485.519504,2169,0.0,0.0,185215.93578424962,0.0
108.86,2416.910805,2475.228199,2169,0.0,0.0,184449.0483456484,0.0
108.87,2416.910805,2466.48059,2170,0.0,0.0,183797.19404146678,0.0
108.88,2503.953095,2472.101466,2170,0.0,0.0,184216.05046427564,0.0
108.89,2503.953095,2476.87921,2171,0.0,0.0,184572.07837895246,0.0
108.9,2523.536515,2483.877806,2173,0.0,0.0,185093.59973705476,0.0
108.91,2523.536515,2489.826612,2173,0.0,0.0,185536.89284673092,0.0
108.92,2523.536515,2494.883098,2173,0.0,0.0,185913.69205702186,0.0
108.93,2523.536515,2499.18111,2173,0.0,0.0,186233.97130379942,0.0
108.94,2523.536515,2502.834421,2173,0.0,0.0,186506.20872317467,0.0
108.95,2523.536515,2505.939735,2173,0.0,0.0,186737.6105035624,0.0
108.96000000000001,2448.019578,2497.251712,2174,0.0,0.0,186090.19642877026,0.0
108.97,2448.019578,2489.866892,2174,0.0,0.0,185539.89443166374,0.0
