t (s),Raw RPM,Filtered RPM,Torque,Power (W),N_Re,N_Po
2.384185791015625e-07,0.0,0.0,0.0,0.0,0.0,0.0
0.17787933349609375,0.0,0.0,0.0,0.0,0.0,0.0
0.30805158615112305,0.0,0.0,0.0,0.0,0.0,0.0
0.46328043937683105,0.0,0.0,0.0,0.0,0.0,0.0
0.615642786026001,0.0,0.0,0.0,0.0,0.0,0.0
0.755897045135498,0.0,0.0,0.0,0.0,0.0,0.0
0.8965115547180176,0.0,0.0,0.0,0.0,0.0,0.0
1.0351033210754395,0.0,0.0,0.0,0.0,0.0,0.0
1.1738207340240479,0.0,0.0,0.0,0.0,0.0,0.0
1.3123414516448975,0.0,0.0,0.0,0.0,0.0,0.0
1.5161194801330566,0.0,0.0,0.0,0.0,0.0,0.0
1.6561741828918457,0.0,0.0,0.0,0.0,0.0,0.0
1.794602632522583,0.0,0.0,0.0,0.0,0.0,0.0
1.933391809463501,0.0,0.0,0.0,0.0,0.0,0.0
2.072146415710449,0.0,0.0,0.0,0.0,0.0,0.0
2.2112224102020264,0.0,0.0,0.0,0.0,0.0,0.0
2.3503544330596924,0.0,0.0,0.0,0.0,0.0,0.0
2.489332914352417,0.0,0.0,0.0,0.0,0.0,0.0
2.6274373531341553,0.0,0.0,0.0,0.0,0.0,0.0
2.765813112258911,0.0,0.0,0.0,0.0,0.0,0.0
2.9678051471710205,0.0,0.0,0.0,0.0,0.0,0.0
3.1062278747558594,0.0,0.0,0.0,0.0,0.0,0.0
3.2446699142456055,0.0,0.0,0.0,0.0,0.0,0.0
3.3830623626708984,0.0,0.0,0.0,0.0,0.0,0.0
3.522364616394043,0.0,0.0,0.0,0.0,0.0,0.0
3.6612372398376465,0.0,0.0,0.0,0.0,0.0,0.0
3.799643039703369,0.0,0.0,0.0,0.0,0.0,0.0
3.9376683235168457,0.0,0.0,0.0,0.0,0.0,0.0
4.07717490196228,0.0,0.0,0.0,0.0,0.0,0.0
4.216989040374756,0.0,0.0,0.0,0.0,0.0,0.0
4.421798467636108,0.0,0.0,0.0,0.0,0.0,0.0
4.561748266220093,0.0,0.0,0.0,0.0,0.0,0.0
4.7020790576934814,0.0,0.0,0.0,0.0,0.0,0.0
4.842384576797485,0.0,0.0,0.0,0.0,0.0,0.0
4.982999324798584,0.0,0.0,0.0,0.0,0.0,0.0
5.122265338897705,0.0,0.0,0.0,0.0,0.0,0.0
5.2628607749938965,0.0,0.0,0.0,0.0,0.0,0.0
