t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
106.58,463.008692,463.523767,2714,0.0,0.0,34540.86283570983,0.0
106.59,454.215116,462.12747,2714,0.0,0.0,34436.813579579844,0.0
106.60000000000001,458.848532,461.635629,2714,0.0,0.0,34400.1625732508,0.0
106.61,467.814371,462.56244,2714,0.0,0.0,34469.226672882236,0.0
106.62,461.169852,462.353552,2715,0.0,0.0,34453.660757454156,0.0
106.63,461.169852,462.175997,2715,0.0,0.0,34440.429714436694,0.0
106.64,461.169852,462.025075,2715,0.0,0.0,34429.183309242355,0.0
106.65,461.169852,461.896792,2715,0.0,0.0,34419.62391698976,0.0
106.66,467.97005,462.80778,2715,0.0,0.0,34487.508918349304,0.0
106.67,471.532039,464.116419,2715,0.0,0.0,34585.02607586856,0.0
106.68,465.537789,464.329625,2715,0.0,0.0,34600.913760009156,0.0
106.69,463.143526,464.15171,2715,0.0,0.0,34587.65589051264,0.0
106.7,459.784208,463.496585,2715,0.0,0.0,34538.83728750616,0.0
106.71000000000001,461.82266,463.245496,2715,0.0,0.0,34520.12663807239,0.0
106.72,461.241419,462.944884,2715,0.0,0.0,34497.72563385642,0.0
106.73,461.241419,462.689365,2715,0.0,0.0,34478.68486969445,0.0
106.74000000000001,461.241419,462.472173,2715,0.0,0.0,34462.500156816466,0.0
106.75,461.241419,462.28756,2715,0.0,0.0,34448.74316577378,0.0
106.76,462.582237,462.331761,2715,0.0,0.0,34452.03693577416,0.0
106.77,461.595273,462.221288,2715,0.0,0.0,34443.80470905416,0.0
106.78,466.185977,462.815991,2716,0.0,0.0,34488.12078562545,0.0
106.79,468.047928,463.600782,2716,0.0,0.0,34546.60183927485,0.0
106.8,467.814371,464.23282,2716,0.0,0.0,34593.70004527678,0.0
106.81,467.814371,464.770053,2716,0.0,0.0,34633.73357254102,0.0
106.82000000000001,469.016487,465.407018,2716,0.0,0.0,34681.198928715836,0.0
106.83,469.016487,465.948438,2716,0.0,0.0,34721.544462834936,0.0
106.84,469.016487,466.408646,2716,0.0,0.0,34755.838241354155,0.0
106.85000000000001,469.016487,466.799822,2716,0.0,0.0,34784.987893481106,0.0
106.86,462.443946,466.14644,2716,0.0,0.0,34736.299175343986,0.0
106.87,463.374852,465.730702,2716,0.0,0.0,34705.3192121664,0.0
106.88,462.551806,465.253868,2716,0.0,0.0,34669.786497423425,0.0
106.89,464.56888,465.151119,2716,0.0,0.0,34662.129847714874,0.0
106.9,467.301366,465.473656,2716,0.0,0.0,34686.16465902249,0.0
106.91,463.695717,465.206965,2717,0.0,0.0,34666.29137979425,0.0
106.92,469.016487,465.778394,2717,0.0,0.0,34708.873124495476,0.0
106.93,469.016487,466.264108,2717,0.0,0.0,34745.06755905483,0.0
106.94,469.016487,466.676964,2717,0.0,0.0,34775.83276136408,0.0
106.95,469.016487,467.027893,2717,0.0,0.0,34801.98328765213,0.0
106.96000000000001,468.75,467.286209,2717,0.0,0.0,34821.232478652666,0.0
106.97,466.540073,467.174289,2717,0.0,0.0,34812.89242439053,0.0
106.98,464.983633,466.84569,2717,0.0,0.0,34788.40588498304,0.0
106.99000000000001,460.280833,465.860962,2717,0.0,0.0,34715.02592649974,0.0
107.0,462.278107,465.323533,2717,0.0,0.0,34674.97779370802,0.0
107.01,461.36811,464.73022,2717,0.0,0.0,34630.765297153026,0.0
107.02,465.733318,464.880685,2718,0.0,0.0,34641.977647622596,0.0
107.03,465.733318,465.00858,2718,0.0,0.0,34651.508126892215,0.0
107.04,465.733318,465.11729,2718,0.0,0.0,34659.60897838291,0.0
107.05,465.733318,465.209695,2718,0.0,0.0,34666.49481392698,0.0
107.06,474.683544,466.630772,2718,0.0,0.0,34772.39062603101,0.0
107.07000000000001,468.047928,466.843345,2718,0.0,0.0,34788.23114027928,0.0
107.08,466.88247,466.849214,2718,0.0,0.0,34788.66848640566,0.0
107.09,463.143526,466.293361,2718,0.0,0.0,34747.24743403098,0.0
107.10000000000001,462.278107,465.691073,2718,0.0,0.0,34702.36613844988,0.0
107.11,468.047928,466.044601,2718,0.0,0.0,34728.71033701301,0.0
107.12,464.371639,465.793657,2719,0.0,0.0,34710.01049268886,0.0
107.13,464.371639,465.580354,2719,0.0,0.0,34694.11558030253,0.0
107.14,464.108911,465.359638,2719,0.0,0.0,34677.668266001936,0.0
107.15,464.108911,465.172029,2719,0.0,0.0,34663.688019039226,0.0
107.16,464.108911,465.012561,2719,0.0,0.0,34651.804783039624,0.0
107.17,464.108911,464.877013,2719,0.0,0.0,34641.704017536365,0.0
107.18,464.108911,464.761798,2719,0.0,0.0,34633.11842647299,0.0
107.19,474.984167,466.295153,2719,0.0,0.0,34747.38097028221,0.0
107.2,469.924812,466.839602,2719,0.0,0.0,34787.95221941524,0.0
107.21000000000001,467.581047,466.950819,2719,0.0,0.0,34796.239887525255,0.0
107.22,459.351768,465.810961,2719,0.0,0.0,34711.29995211481,0.0
107.23,459.351768,464.842082,2719,0.0,0.0,34639.101029371326,0.0
107.24000000000001,459.351768,464.018535,2719,0.0,0.0,34577.731956217074,0.0
107.25,459.351768,463.31852,2719,0.0,0.0,34525.56824031004,0.0
107.26,457.317073,462.418303,2719,0.0,0.0,34458.48587229984,0.0
107.27,463.143526,462.527087,2719,0.0,0.0,34466.59223812233,0.0
107.28,461.36811,462.35324,2719,0.0,0.0,34453.63750783899,0.0
107.29,463.879268,462.582144,2719,0.0,0.0,34470.6949755018,0.0
107.3,458.612255,461.986661,2720,0.0,0.0,34426.32077489259,0.0
107.31,461.777165,461.955237,2720,0.0,0.0,34423.979121344215,0.0
107.32000000000001,468.696739,462.966462,2720,0.0,0.0,34499.33358320299,0.0
