Sampling Window (ms),PWM (%),Comparison,Mean RPM Difference,SD Difference (RPM),CV Difference (%),Revolution Difference
20,80,96 PPR - 48 PPR,7.625660573749883,2.425175984409103,0.11630050918867552,3
20,80,100 PPR - 48 PPR,17.93108853249987,2.2749171511551847,0.10440455466089615,4
20,80,125 PPR - 48 PPR,20.18210219499997,6.0695092970427265,0.2888592603843132,5
20,80,192 PPR - 48 PPR,16.80998902249962,8.196717364534956,0.39475564441684874,5
20,80,200 PPR - 48 PPR,13.918453134999936,9.444977441831496,0.45761508355392944,4
20,80,250 PPR - 48 PPR,10.513709152499814,7.897281293101193,0.38370122779687055,2
20,80,256 PPR - 48 PPR,21.068102708749848,7.450150139781114,0.35583407885431395,4
20,80,100 PPR - 96 PPR,10.305427958749988,-0.1502588332539183,-0.011895954527779362,1
20,80,125 PPR - 96 PPR,12.556441621250087,3.6443333126336235,0.17255875119563768,2
20,80,192 PPR - 96 PPR,9.184328448749739,5.7715413801258535,0.2784551352281732,2
20,80,200 PPR - 96 PPR,6.292792561250053,7.019801457422393,0.3413145743652539,1
20,80,250 PPR - 96 PPR,2.888048578749931,5.47210530869209,0.26740071860819503,-1
20,80,256 PPR - 96 PPR,13.442442134999965,5.024974155372011,0.23953356966563843,1
20,80,125 PPR - 100 PPR,2.2510136625000996,3.794592145887542,0.18445470572341705,1
20,80,192 PPR - 100 PPR,-1.1210995100002492,5.921800213379772,0.2903510897559526,1
20,80,200 PPR - 100 PPR,-4.012635397499935,7.170060290676311,0.3532105288930333,0
20,80,250 PPR - 100 PPR,-7.417379380000057,5.622364141946008,0.2792966731359744,-2
20,80,256 PPR - 100 PPR,3.137014176249977,5.175232988625929,0.2514295241934178,0
20,80,192 PPR - 125 PPR,-3.372113172500349,2.12720806749223,0.10589638403253554,0
20,80,200 PPR - 125 PPR,-6.263649060000034,3.375468144788769,0.16875582316961624,-1
20,80,250 PPR - 125 PPR,-9.668393042500156,1.8277719960584662,0.09484196741255735,-3
20,80,256 PPR - 125 PPR,0.8860005137498774,1.3806408427383872,0.06697481847000075,-1
20,80,200 PPR - 192 PPR,-2.8915358874996855,1.248260077296539,0.0628594391370807,-1
20,80,250 PPR - 192 PPR,-6.2962798699998075,-0.29943607143376383,-0.011054416619978191,-3
20,80,256 PPR - 192 PPR,4.258113686250226,-0.7465672247538429,-0.03892156556253479,-1
20,80,250 PPR - 200 PPR,-3.404743982500122,-1.547696148730303,-0.07391385575705889,-2
20,80,256 PPR - 200 PPR,7.149649573749912,-1.994827302050382,-0.10178100469961548,0
20,80,256 PPR - 250 PPR,10.554393556250034,-0.447131153320079,-0.027867148942556597,2
20,90,96 PPR - 48 PPR,5.84780646750005,5.430432585859538,0.23533891903169513,3
20,90,100 PPR - 48 PPR,18.580513603750205,4.430142131997343,0.18612747446847355,4
20,90,125 PPR - 48 PPR,20.094552192500487,1.9296658213303708,0.07685154226779678,4
20,90,192 PPR - 48 PPR,16.135478356250132,8.135146334734042,0.34840919186858554,4
20,90,200 PPR - 48 PPR,13.574882000000343,9.377184076258573,0.4038005089036186,2
20,90,250 PPR - 48 PPR,12.219524928750161,36.54684305196359,1.5888895045226938,0
20,90,256 PPR - 48 PPR,22.70393602125023,220.57083092727626,9.563489736474832,3
20,90,100 PPR - 96 PPR,12.732707136250156,-1.0002904538621955,-0.049211444563221574,1
20,90,125 PPR - 96 PPR,14.246745725000437,-3.5007667645291676,-0.15848737676389835,1
