PPR,PWM (%),Settled Interval,Mean RPM (10 ms),Mean RPM (20 ms),Mean RPM Difference (20-10),Standard Deviation (RPM) (10 ms),Standard Deviation (RPM) (20 ms),Standard Deviation (RPM) Difference (20-10),Coefficient of Variation (%) (10 ms),Coefficient of Variation (%) (20 ms),Coefficient of Variation (%) Difference (20-10),Filtered SD (RPM) (10 ms),Filtered SD (RPM) (20 ms),Filtered SD (RPM) Difference (20-10),Revolution Increment (10 ms),Revolution Increment (20 ms),Revolution Increment Difference (20-10)
48,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
48,10,10+1 to 10+9 s,208.2182473325,211.09075478625,2.8725074537499893,26.83470066175127,24.608842570905594,-2.2258580908456764,12.887775689946817,11.65794427890717,-1.2298314110396475,14.703284921943613,13.672973965730156,-1.030310956213457,28,28,0
48,20,20+1 to 20+9 s,474.29006842625,477.56212634625,3.272057920000009,18.00140923028103,15.273149439500456,-2.728259790780575,3.795443006009343,3.198149224343403,-0.59729378166594,5.2878978228278175,5.1587246582400335,-0.12917316458778405,63,64,1
48,30,30+1 to 30+9 s,732.4407801174999,737.2921304862501,4.851350368750218,16.322991686696422,12.186943059877157,-4.1360486268192656,2.2285749414550415,1.6529327461883756,-0.5756421952666659,3.8960796230655994,3.4538327504665913,-0.4422468725990081,97,98,1
48,40,40+1 to 40+9 s,981.9869830462501,997.0878147525,15.100831706249892,17.211097898724294,11.250818457367918,-5.960279441356375,1.7526808599166204,1.1283678619781978,-0.6243129979384225,5.416222065405173,3.578319097724648,-1.8379029676805252,131,133,2
48,50,50+1 to 50+9 s,1242.21516376875,1257.4322703799999,15.217106611249847,17.9187026908194,11.515808167247892,-6.40289452357151,1.4424797904137592,0.9158193596994118,-0.5266604307143474,4.5878945786649625,3.561323872119835,-1.0265707065451277,166,167,1
48,60,60+1 to 60+9 s,1503.32087826,1515.95725359125,12.636375331250065,20.233442663187603,15.894864127654282,-4.338578535533321,1.345916427809248,1.0485034515320206,-0.2974129762772273,5.386797132799976,4.637003671033477,-0.7497934617664992,200,201,1
48,70,70+1 to 70+9 s,1763.5124535462498,1769.9301885025,6.417734956250115,25.647737966700593,18.666142426110575,-6.981595540590018,1.4543553642122298,1.054625913912661,-0.39972945029956874,7.561292913163205,6.510343753252973,-1.0509491599102327,236,235,-1
48,80,80+1 to 80+9 s,2024.5022405324999,2026.1558963075001,1.6536557750002885,29.83348912003969,15.909639447557078,-13.923849672482612,1.4736209485346217,0.7852129975068092,-0.6884079510278125,7.712131068642504,5.347575821696898,-2.3645552469456064,271,268,-3
48,90,90+1 to 90+9 s,2283.84990423875,2281.7826019987497,-2.0673022400001173,28.482396574406387,18.240783257756522,-10.241613316649865,1.247122086330805,0.7994093408275763,-0.4477127455032287,7.369732518597975,6.489414969373237,-0.8803175492247384,305,304,-1
96,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
96,10,10+1 to 10+9 s,200.19041774375,216.34322545999996,16.152807716249953,28.894147717013645,19.695573453246457,-9.198574263767188,14.433332045891955,9.103854956109085,-5.32947708978287,16.790836322328644,10.689158446076524,-6.10167787625212,26,29,3
96,20,20+1 to 20+9 s,470.51437074875,481.88100555125,11.36663480249996,18.506779202191446,12.857021400452718,-5.649757801738728,3.9333079609748802,2.6680905145337426,-1.2652174464411376,5.385640774385378,4.331135333494234,-1.0545054408911438,62,65,3
96,30,30+1 to 30+9 s,733.24597420875,742.4378909600001,9.191916751250119,15.691024961291122,10.18205458943176,-5.508970371859363,2.139940144672925,1.3714352019757479,-0.7685049426971771,3.9567046775813526,2.9137206525912074,-1.0429840249901452,97,99,2
96,40,40+1 to 40+9 s,994.95609455125,1001.9924615012501,7.036366950000115,18.50165544020772,8.319167778292906,-10.182487661914815,1.8595449127383286,0.83026251173872,-1.0292824009996084,4.73544597926699,2.83295996650112,-1.9024860127658698,132,134,2
96,50,50+1 to 50+9 s,1256.55990955,1260.94035781625,4.380448266250141,19.267657138469225,13.743659783210346,-5.52399735525888,1.5333655794708085,1.089953200245902,-0.4434123792249065,5.447590565066388,4.172329784010524,-1.2752607810558647,167,169,2
96,60,60+1 to 60+9 s,1515.1907349812502,1520.56096523125,5.3702302499998495,20.64124974770977,13.259497014738814,-7.381752732970957,1.3622872204247736,0.8720135080359822,-0.49027371238879136,5.623191351813296,4.163088275092435,-1.460103076720861,201,203,2
96,70,70+1 to 70+9 s,1771.0490817525,1777.29692735875,6.247845606250166,23.45266745198919,18.026815353085517,-5.425852098903672,1.3242245905902368,1.0142827051344345,-0.30994188545580226,5.829322822510564,5.673112617947078,-0.1562102045634859,236,236,0
96,80,80+1 to 80+9 s,2028.042277435,2033.78155688125,5.739279446250066,33.378932895769054,18.33481543196618,-15.044117463802873,1.645869677726128,0.9015135066954847,-0.7443561710306432,8.118697190594709,5.870358450514903,-2.248338740079806,270,271,1
96,90,90+1 to 90+9 s,2283.0420727562496,2287.6304084662497,4.588335710000138,32.61719858349689,23.67121584361606,-8.945982739880826,1.4286726895102333,1.0347482598592714,-0.39392442965096186,8.846452833134725,7.480797764049934,-1.3656550690847906,303,307,4
100,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
100,10,10+1 to 10+9 s,220.20870412124998,222.13313316250003,1.9244290412500504,17.03031486916571,15.814339419606748,-1.2159754495589628,7.733715584552272,7.119306874421959,-0.6144087101303128,8.93051736338667,8.348868445792135,-0.581648917594535,29,30,1
100,20,20+1 to 20+9 s,485.56794017749996,487.83915704875,2.271216871250033,13.021436161211636,10.579675778646397,-2.4417603825652385,2.6816919083355533,2.1686811371702097,-0.5130107711653435,3.545784948646938,3.4732556483545887,-0.0725293002923495,65,65,0
100,30,30+1 to 30+9 s,745.5493327974999,748.3028066774999,2.7534738800000014,13.099976025925686,10.061083020243375,-3.0388930056823114,1.7570904364934623,1.3445202838293582,-0.41257015266410413,3.2551834522545717,3.2882127487475437,0.03302929649297193,99,100,1
100,40,40+1 to 40+9 s,1007.5771388012499,1008.6547012462499,1.0775624450000123,14.25637014723084,9.77065530510276,-4.485714842128079,1.4149159998004863,0.9686818782513543,-0.446234121549132,3.394221592226999,2.948663318745422,-0.44555827348157706,134,134,0
100,50,50+1 to 50+9 s,1267.1178678675,1268.34502395125,1.2271560837498328,17.816720770104986,12.517097802782592,-5.299622967322394,1.4060823560234132,0.9868842914515742,-0.41919806457183906,4.393074797866244,3.9166683019124604,-0.47640649595378326,169,169,0
100,60,60+1 to 60+9 s,1526.71962221375,1526.9117359450001,0.19211373125017417,17.472549348036516,16.766686038357864,-0.7058633096786515,1.1444504343699498,1.0980782741826935,-0.046372160187256206,4.758550628744576,5.168494806481464,0.40994417773688774,204,203,-1
100,70,70+1 to 70+9 s,1785.7200854325001,1785.7938771337504,0.07379170125022938,23.188144937110994,18.598975487650613,-4.589169449460382,1.2985318990515158,1.041496206578023,-0.25703569247349267,5.852054808796047,5.57199268925972,-0.28006211953632665,238,238,0
100,80,80+1 to 80+9 s,2044.8035326087497,2044.08698484,-0.7165477687497059,29.67350114107558,18.184556598712263,-11.488944542363317,1.4511663672264044,0.8896175521677053,-0.561548815058699,7.648126573432475,5.116621429528745,-2.53150514390373,273,272,-1
100,90,90+1 to 90+9 s,2300.6387967912506,2300.3631156025,-0.2756811887506956,32.47852666659595,22.670925389753865,-9.807601276842082,1.4117177677736477,0.9855368152960499,-0.4261809524775978,8.11805576397892,6.841344806360347,-1.2767109576185725,307,308,1
125,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
125,10,10+1 to 10+9 s,223.49303501125,221.81918556625,-1.6738494449999735,15.3109111007011,15.739751785208165,0.42884068450706536,6.850732999321608,7.095757630264685,0.24502463094307636,8.036719135177362,8.404369132615214,0.36764999743785154,30,30,0
125,20,20+1 to 20+9 s,487.82822902125,487.76168907,-0.06653995125003576,11.993829793275106,10.103018548505132,-1.8908112447699743,2.4586174148508837,2.0713021901675472,-0.38731522468333646,3.3583108793961363,3.3970465722744034,0.03873569287826717,64,65,1
125,30,30+1 to 30+9 s,747.4546833612499,748.35583805125,0.9011546900001122,10.871443861132821,9.727597560551065,-1.1438463005817567,1.4544619363738176,1.299862587546873,-0.1545993488269446,2.8519854121334967,3.0144563346576567,0.16247092252416007,99,100,1
125,40,40+1 to 40+9 s,1008.29269798625,1008.504057795,0.2113598087499895,14.138636128420554,9.520901618152708,-4.617734510267846,1.4022352990017746,0.944061805657904,-0.4581734933438706,3.572654796191562,3.027210175768226,-0.5454446204233361,134,134,0
125,50,50+1 to 50+9 s,1268.39081977,1268.55132856,0.1605087899999944,18.64163646059353,11.879090415044725,-6.762546045548806,1.4697076145642445,0.9364296223259103,-0.5332779922383342,4.4903159142469615,3.540720913963068,-0.9495950002838933,168,169,1
125,60,60+1 to 60+9 s,1527.07185497625,1527.8355890375,0.7637340612500338,20.30970661044275,13.173071195832282,-7.136635414610467,1.3299771418260222,0.8622047614515251,-0.4677723803744971,5.487579664994673,4.041803189410172,-1.445776475584501,202,204,2
125,70,70+1 to 70+9 s,1784.5686056050001,1787.3119224162501,2.743316811249997,24.866220175538583,18.322918559899684,-6.5433016156388994,1.3934023100842625,1.0251662471500276,-0.36823606293423494,6.320416876741956,5.372366044543778,-0.9480508321981782,236,238,2
125,80,80+1 to 80+9 s,2046.1320819237503,2046.3379985025,0.2059165787497932,29.217112609485913,21.979148744599804,-7.237963864886108,1.4279191879937834,1.0740722578911224,-0.353846930102661,6.938372129254444,6.325078940258233,-0.6132931889962112,272,273,1
125,90,90+1 to 90+9 s,2300.79728478375,2301.87715419125,1.079869407500155,31.40294804644659,20.170449079086893,-11.232498967359696,1.364872440267945,0.8762608830953731,-0.488611557172572,7.797543465603826,5.256325037465215,-2.5412184281386105,309,308,-1
192,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
192,10,10+1 to 10+9 s,220.3730951875,221.41658322625,1.0434880387499845,16.861950515459284,16.42271909086239,-0.439231424596894,7.651546801170367,7.41711341199822,-0.23443338917214707,9.042545619406521,8.721012478808058,-0.32153314059846316,29,29,0
192,20,20+1 to 20+9 s,486.35635316624996,487.98944110375,1.6330879375000222,13.008550894703152,8.988151337789013,-4.020399556914139,2.674695377168533,1.8418741433132915,-0.8328212338552416,3.6865918050341877,3.079913989729694,-0.6066778153044936,64,65,1
192,30,30+1 to 30+9 s,747.214904565,749.1376092375,1.9227046725000037,13.285463453431277,7.744423399637903,-5.541040053793374,1.777997651313656,1.0337784813020485,-0.7442191700116074,3.249235676584673,2.782073615006325,-0.46716206157834783,99,100,1
192,40,40+1 to 40+9 s,1008.5533361475001,1009.8995459449999,1.346209797499796,14.274458343881777,13.432283879168196,-0.8421744647135814,1.4153399559816784,1.3300613841349058,-0.08527857184677257,3.4379244624217393,3.8248349297097857,0.38691046728804634,135,134,-1
192,50,50+1 to 50+9 s,1266.87063658375,1269.762326835,2.891690251250111,17.405664137368063,15.714805397677761,-1.6908587396903023,1.3739101400522054,1.2376178648210776,-0.13629227523112775,4.60734063834634,4.209798349324338,-0.3975422890220024,169,169,0
192,60,60+1 to 60+9 s,1526.8246776425,1528.8363305925002,2.011652950000098,25.608158468299763,18.826297789916367,-6.781860678383396,1.6772166996829097,1.2314135537726423,-0.4458031459102674,6.1199993644442285,5.025874290392231,-1.0941250740519974,202,203,1
192,70,70+1 to 70+9 s,1783.85029878125,1785.9501148925,2.099816111249993,30.318746037670927,23.427143773609984,-6.891602264060943,1.699623901085483,1.3117468163448738,-0.3878770847406092,7.365612288217645,5.72674596986781,-1.6388663183498346,236,238,2
192,80,80+1 to 80+9 s,2042.7223726587501,2042.9658853299998,0.2435126712496185,34.75040975602093,24.106356812092034,-10.644052943928894,1.7011812383878073,1.179968641923658,-0.5212125964641494,8.539251369154924,6.551135767909974,-1.9881156012449495,269,273,4
192,90,90+1 to 90+9 s,2298.047712785,2297.918080355,-0.1296324300001288,37.13509542021917,26.375929592490564,-10.759165827728609,1.615941009998231,1.1478185326961619,-0.46812247730206913,8.62687672956176,7.422208194101309,-1.204668535460451,306,308,2
200,0,0+1 to 0+9 s,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0,0
200,10,10+1 to 10+9 s,211.6474273275,215.822204245,4.174776917499997,23.96496529802377,21.972434828209995,-1.9925304698137758,11.323060053520399,10.180803641161512,-1.1422564123588863,13.22021264805762,11.99393368538993,-1.2262789626676902,28,29,1
200,20,20+1 to 20+9 s,477.92952152500004,482.28452049875,4.354998973749957,15.469921015759303,13.09662338112614,-2.373297634633163,3.2368624073267434,2.715538820856699,-0.5213235864700443,4.421536978719483,4.291446877443577,-0.13009010127590592,63,64,1
200,30,30+1 to 30+9 s,739.14822889125,742.3702475825,3.222018691250014,12.663593758461777,8.952506150497742,-3.7110876079640356,1.7132684979111215,1.2059354721786375,-0.507333025732484,3.2253119419634224,2.8949894619321648,-0.33032248003125764,98,99,1
200,40,40+1 to 40+9 s,998.9987263025,1004.71475872875,5.716032426249967,14.980647633974025,12.324758836195903,-2.655888797778122,1.4995662396308036,1.2266923252715258,-0.27287391435927777,3.9478000930649904,3.566783634266626,-0.38101645879836443,132,134,2
200,50,50+1 to 50+9 s,1258.00383541875,1265.127995685,7.124160266250101,20.669151716922485,16.273692071617656,-4.395459645304829,1.6430118203926123,1.2863277176003294,-0.3566841027922829,4.845138228306705,4.404431447690758,-0.4407067806159466,168,168,0
200,60,60+1 to 60+9 s,1518.5646894212498,1524.3536987712498,5.789009350000015,26.771367458484253,17.78935367355041,-8.982013784933844,1.76293888860851,1.167009578412808,-0.595929310195702,6.899470119420582,4.954521799807475,-1.9449483196131068,202,203,1
200,70,70+1 to 70+9 s,1776.6366730099999,1783.04461068,6.407937670000138,28.48085106064928,21.12452343188012,-7.356327628769158,1.6030768413891103,1.1847445266007033,-0.41833231478840704,6.131182817978406,6.009803467450509,-0.12137935052789661,235,237,2
200,80,80+1 to 80+9 s,2036.9844547599996,2040.0743494425,3.0898946825004714,29.466035983182902,25.354616889388573,-4.1114190937943285,1.4465518337328025,1.2428280810607386,-0.20372375267206388,7.0256979945880795,7.1767130922237685,0.151015097635689,271,272,1
